Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Rother District Council,538.03,13.565,5.66,2360.351,0,29.35,0,0,0,0,0,0,63.837,1609.19,0,0,0,0,0
Gloucester City Council,653.38,867.79,122.11,2380.56,0,15.76,0,0,0,0,0,51.59,36.02,0,224.72,123.46,0.71,0,0
Maidstone Borough Council,37.7,0,0,3454,0,3.6,0,0,0,0,0,0,3.82,3866.94,0,0,0,0,0
Wyre Borough Council,21.69,1216.59,0.105,3860.84,0,18.015,0,0,0,0,0,0.383,26.62,1111.57,0,59.717,0,0,0
Leicester City Council,52,328,350,1316,1131,255,0,2,0,75,6,21,66,4144,0,6,0,1356,5
Great Yarmouth Borough Council,51.23,8.42,0,876.38,0,25.68,0,0.12,0,0,0,0,3.92,2222.46,0,0,0,0,0
Corby Borough Council,15.69,0,0,1485.47,0,0,0,0,0,0,0,0,27.3,1630.04,0,0,0,0,0
Oxfordshire County Council,81.5,756.96,959.33,3007.9,3009.54,1163.94,38.5,25.86,0,166.44,20,47.28,139.66,0,51.98,63.82,0,1960.33,0
Salford City Council MBC,0,2148,0,4668,0,0,0,0,0,0,0,0,0,2294,0,0,0,0,0
Sheffield City Council,127.9,4120,498.1,3927.8,1459.6,478.2,10.2,0,0,100.3,0,29.1,98,4644.5,0,0,0,0,0
Coventry City Council,0,121.44,261.982,5933.67,16.02,239.62,9.31,12.01,0,62.32,8.28,0.8,191.19,5488.93,31.79,1.02,51.56,2369.24,10.19
Hackney LB,482.1,165.072,110.7,1461.79,88.66,102.92,0,2.2,0,0,0,0,143.862,4311.705,0,16.606,134.2,0,0
Waltham Forest LB,0,133.186,125.18,3544.04,752.68,160.934,0,0,0,45.78,4.54,0.602,227.412,5213.87,18.54,20.476,0.448,1108.18,8.806
East Cambridgeshire District Council,41.341,17.36,0,3055.44,0,0,0,0,0,0,0,38.622,6.66,2009.39,2.53,0,0,0,0
Redcar and Cleveland Borough Council,44.772,512.604,103.482,3435,517.81,96.732,0,0,0,11.34,2.61,5.515,13.502,2103.754,23.552,0,53.46,886.77,1.6
South Hams District Council,618.09,1142,2.07,2970.03,0.46,1.35,0,0,0,0,0,69.8,18.15,232.12,0,51.23,3.06,0,0
Basildon District Council,1079.66,49.9,44,5551.64,318.16,32.922,3.099,3.283,0,0,0.13,0,58.951,3468.88,1.726,6.385,0.06,0,0
Kingston-upon-Hull City Council,4.7,194.31,307.75,6154.81,1420.54,378.93,5.71,20.94,0,89.56,4.25,0.23,155.14,5140.62,3.29,0,0,2217.7,0
Swale Borough Council,45.6,119.94,0,1824.88,0,4.88,0,0,0,0,0,0,22.31,2745.76,0,0,0,0,0
Rutland County Council,47.38,98.61,70.79,1655.52,140.66,90.13,2.08,6.54,0,10.98,0.4,0,14.05,971.9,18.98,4.66,36.1,260.64,0
Kings Lynn and West Norfolk Borough Council,0,3.98,0,3576.8,0,10.84,0,1.62,0,0.62,0,0,57.109,3716.17,0,0,0,0,0
Northampton Borough Council,1198.49,1913.25,321.03,4846.6,0,0,0,0,0,46.6,0,37.6,17.67,0,443.38,7.1,0,0,0
Vale of White Horse District Council,0,4.435,0,3464.51,0,2.13,0.96,0,0,0,0,0,47.25,3812.14,0,0,0,0,0
Sedgemoor District Council,805.62,1287.645,131.511,2446.78,0,0,0.88,0,0,0,0,46.835,55.601,0,187.731,20.004,0.959,0,0
Suffolk County Council,603.42,815.67,1380.815,3831.291,3237.34,1485.977,57.432,0,0,118.58,24.494,54.013,226.77,0,501.2,19.912,3.371,2640.62,0
Wigan MBC,22.84,213.29,388.41,7755.38,1319.06,361.6,11.63,24.11,0,61.63,8.72,42.67,259.09,6740.38,167.44,0,0,2389.62,63.4
Knowsley MBC,11.23,5.07,5.07,2671.02,8.59,8.11,0,0,0,0,0,0,31.62,3055.76,0,0,9.29,0,0
Walsall MBC,0,150.22,179.04,6563.52,1079.58,227.55,6.27,6.74,0,0,0,0,43.48,5598.1,0,0,0,842.16,0
Islington LB,0,83.727,86.96,1203.4,340.86,121.88,3.72,0.56,0,24.46,0,0,116.044,3458.46,16.64,54.804,0,326.12,0
West Berkshire District Council,1078.9,2277.76,309.03,5740.05,913.64,289.63,11.25,16.31,0,83.8,8.6,1.58,87.2,333.56,14.42,21.67,1.6,924.09,13.26
South Cambridgeshire District Council,0,894.66,0,5997.65,0,0.36,1.57,0,0,0,0,0.175,8.58,3239,3.49,0,0,0,0
Middlesbrough Borough Council,33.933,87.829,99.802,2674.737,522.918,135.585,2.529,8.163,253.431,25.83,1.872,0,11.61,2428.718,7.009,0,35.291,1249.889,0
Barrow-in-Furness Borough Council,0,190.14,0,1314.9,0,0,0,0,0,0,0,0,0,1038.45,0,0,0,0,0
Torridge District Council,77.76,35.536,0.78,2087.165,0,3.147,0,0,0,0,0,0.634,4.377,1043.94,0.163,7.708,0,0,0
Chelmsford Borough Council,1088.1,1576.04,77.919,5420.42,0,23.018,0,0,0,0,0,0,6.95,0,412.24,0,0,0,0
Eastleigh Borough Council,836.38,0.25,0,1798.4,0,2.44,1.63,0,0,0,0,0,90.31,1876.74,0,0,0,0,0
Herefordshire Council,56.4,207.85,538.5,2522.23,852.84,166.645,10.187,21.92,0,78.24,7.92,0.56,32.205,4737.96,9.58,34.895,0.02,1635.18,0
Broxbourne Borough Council,520.95,570.65,8.38,2442.96,0,7.23,0,0,0,0,0,0,32.07,293.24,0,0,0,0,0
Kent County Council,374.26,1910.36,2515.85,9287.32,7303.18,2597.94,78.86,22.81,0,377.64,36.33,6.89,329.73,0,0,0,0.08,9023.25,0
Ashfield District Council,639.11,3.89,1.38,1782.38,0,13.604,0,0,0,0,0,0,9.64,1927.96,17.29,0,0,0,0
Mid Suffolk District Council,1052.63,134.673,15.765,3160.62,0,0,0,0,0,0,0,4.18,65.006,3481.76,0,0,0,5.01,0
Nuneaton and Bedworth Borough Council,39.467,980.677,21.2,3787.79,0,13.33,0,0,0,0,0,0,9.569,1315.88,0,0,0,0,0
Wirral MBC,24.274,3.49,0,4090.48,0,41.012,0,0,0,0,0,0,138.328,7061.82,0,0,0.917,0,0
North Tyneside Council,1175.71,264,209.75,4137.78,933.55,215.4,4.3,7.98,0,69.94,0,0,136.38,2588.73,41.54,56.95,0,1494.54,0
Bradford City MDC (MBC),190,2737,299,7685,1658,504,16,26,0,129,10,0,174,2192.5,0,106,55,1205,25
Western Riverside Waste Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.74,0
West London Waste Authority,0,10.16,0,111.98,38.96,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0
Redbridge LB,588,1601.8,222.9,2941.6,624.3,178.6,4.8,4,0,0,4.9,0,56.8,511.2,358.4,0.7,0,539.8,2.4
Wokingham Council,773.75,225.22,369.98,3238.5,0,396.1,15.61,10.83,408.58,126.25,8.18,6.08,173.72,2323.84,24.93,0,4.21,1185.73,56.97
South Lakeland District Council,210.96,328.84,13.4,3795.18,0,0,0,0,0,0,0,0,0,1403.02,82.1,0,0,0,0
Torbay Council,1079.45,1211.32,314.41,3239.31,593.42,200.87,5.84,6.28,0,10.82,4.46,0,41.57,526.5,201.94,7.91,0,197.4,0.96
Maldon District Council,375.09,682.72,1.28,1674.72,0,0,0,0,0,0,0,0,17.554,191.12,0,0,0.439,0,0
