Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Havering LB,477.68,176.761,238.78,24.207,3953.9,1060.5,221.78,10.16,11.36,0,41.31,6.56,0,85.46,3233.8,0.64,1.07,637.87,0
Wealden District Council,516.64,4.605,0,0,4838.96,0,2.6,0,0,0,0,0,0.23,37.621,3546.4,0,0,0,0
Uttlesford District Council,0,0,0,0,1744.56,0,0,0,0,0,0,0,0,24.374,2249.26,0,0,0,0
Stroud District Council,0,1055.6,21.4,0,750.64,0,22.98,0,0,0,0,0,38.86,102.89,1448.27,86.8,0,0,0
Test Valley Borough Council,656.98,1.21,3.64,0,1279.28,0,6.72,0,0,0,0,0,0,99.26,1814.94,0,1.73,0,0
Welwyn Hatfield Council,50.4,489.58,0,0,3432.26,0,17.33,0,0,0,0,0,0,18.57,1707.88,0,0,0,0
York City Council,1139.434,1850.93,473.168,407.582,5936.916,1028.43,347.52,8.68,0,0,14.04,7.95,0,101.87,705.46,0,2.84,0,0
Cherwell District Council,866,13.51,12.87,0,6000.2,0,33.04,0,0,0,0,0,0,121.72,2781.7,0,0,0,0
Telford and Wrekin Council,10.28,1565.12,221.19,20.02,6057.39,863.72,330.06,6.12,23.48,400.5,70.26,6.67,4.7,54.73,2342.56,0,3.668,884.66,40.7
South Staffordshire Council,8.25,22.22,0,0,4486.84,0,5.64,0,0,0,0,0,0,4.16,2686.58,0,0,0,0
Mole Valley District Council,0,44.79,0,0,2565,0,8.8,0,0,0,0,0,0,9.26,2264.01,0,0,0,0
Arun District Council,0,0,0,0,2242.68,0,14.52,0,0,0,0,0,0,39.18,3674.7,0,0,0,0
Stockport MBC,0,3358.83,0,0,11647.88,0,14.08,0,0,0,0,0,0,17.534,3272.8,0,0,0,0
Dudley MBC,1477.887,2451.362,229.068,0,8741.08,300.34,188.488,9.533,3.34,0,65.48,6.05,49.573,54.886,834.605,0,231.691,910.52,0
Lewisham LB,0,39.86,8.8,14.45,944.98,154.81,83.854,0.907,0,0,0,0.6,310.42,41.13,4287.208,0,65.07,322.35,0
North Somerset Council,1470.84,2727.9,716.5,617.56,8400.6,1768.97,356.91,3.98,2.62,0,91.96,10.85,20.05,87.3,0,0,0,1006.04,112
Fenland District Council,42.934,7.621,0.053,0.176,3849.96,0,0,0,0,0,0,0,6.619,75.1,2294.019,0,0,0,0
Halton Borough Council,4.17,151.08,189.34,107.38,2705.86,763.22,182.65,6.81,6.16,0,45.8,3.42,79.91,186.64,2518.82,0,56.52,741.62,8.22
Derbyshire County Council,92.96,757.35,1143.96,295.87,4685.44,3557.32,1211.81,32.63,76.06,0,196.12,29.64,327.43,239.15,0,0,1.14,2383.67,0
Southend-on-Sea Borough Council,5.48,1188.43,121.04,0,5017.14,763.91,151.84,1.86,0,0,14.2,9.02,11.8,90.26,2717.98,0,0,706.8,14.76
Worcester City Council,16.38,20.53,0.05,0,592.04,0,2.138,0,0,0,0,0,0.38,16.27,2708.38,17.63,0,0,0
Chorley Borough Council,18.66,884.87,0,0,3760.69,0,53.03,0,0,0,0,0,0,4.97,1656.42,4.72,0.59,0,0
East Lindsey District Council,609.6,0.35,0,0,5000.74,0,0,0,0,0,0,0,0,63.897,2557.32,0,0,0,0
West Oxfordshire District Council,337.78,92.71,4.74,17.19,5048.34,0,0,0,0,0,0,0,0,53.52,2615.82,0,0,0,0
