,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Wiltshire,3279.51,3947.86,1354.79,5511.1,0.0,1784.0900000000001,45.15,56.47,174.73,269.84,16.21,0.0,248.01,3496.73,34.45,16.970000000000002,282.46,719.93,11.1
Cornwall,432.0,996.94,1201.4900000000002,3739.66,2526.11,792.51,22.2,6.76,0.0,116.42,2.13,0.32,96.94999999999999,7989.4,58.39,0.0,39.04,523.16,0.0
Bedford,540.1999999999999,148.96,123.62,1354.52,83.58,206.07000000000002,9.280000000000001,2.2,0.0,13.66,3.7,33.9,88.4,2846.7,0.0,0.0,10.510000000000002,177.24,42.7
Central Bedfordshire,1355.94,315.82,395.58,3113.82,422.92,383.89,10.15,44.102999999999994,0.0,77.71,5.050000000000001,31.06,94.77,5531.98,0.0,0.0,16.42,826.34,557.15
Shropshire,1488.74,2482.2900000000004,322.62,4951.505999999999,828.36,450.63,17.01,18.46,0.0,78.54,10.87,38.22,208.92000000000002,1818.18,0.0,9.56,75.66999999999999,210.58,0.0
Cheshire East,126.32999999999998,533.32,425.3,4790.46,1413.27,556.8100000000001,13.83,0.0,0.0,0.0,10.719999999999999,270.26,185.95,9694.58,25.55,0.0,112.95,1953.7,0.0
Cheshire West and Chester,2663.48,4130.062,954.444,6222.21,1425.6599999999999,534.14,18.815,1.8,0.0,0.0,13.923,161.94,314.55600000000004,150.3,91.27000000000001,0.0,1092.595,1899.81,1.7
Northumberland,1316.4,360.5,411.4,1680.5,1135.2,493.9,17.7,35.099999999999994,0.0,121.4,11.3,37.3,348.8,5182.5,0.0,2.2,123.6,1117.8,0.0
County Durham,2663.77,522.3499999999999,542.3199999999999,2088.3999999999996,1848.59,469.12,15.93,47.44,0.0,215.02,10.88,167.29,522.71,10000.15,0.0,4.93,246.97,1829.14,0.0
Dorset Waste Partnership,3168.73,1561.4499999999998,1234.67,9167.41,2194.88,768.6700000000001,39.22,17.02,0.0,202.34,20.05,410.21999999999997,444.28000000000003,7132.51,41.15,3.98,50.440000000000005,1114.56,13.0
