Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Harlow District Council,199.0,220.0,Collection,40.0,3696.1172950000005,36590.0,2943.792704,6692.665,2070.944704,872.06,6639.121999999999,85397.0
Harrogate Borough Council,83.0,86.0,Collection,40.0,8722.985,71040.0,6645.5869999999995,13031.908000000001,2722.2,3899.32,15344.501,157016.0
Harrow LB,263.0,212.0,Collection,40.0,17867.685588,89730.0,10538.975411,22166.91,5219.947739,5319.027671,28406.661,247130.0
Hart District Council,299.0,221.0,Collection,40.0,4759.612,38200.0,3171.212,7627.7,2154.822,1011.32,7925.754,93912.0
Hastings Borough Council,289.0,27.0,Collection,40.0,5320.697406,43080.0,2377.751593,7789.203,1705.451655,672.299937,7698.4490000000005,91497.0
Havant Borough Council,298.0,369.0,Collection,40.0,6924.734708,54200.0,3116.043291,9535.371,2178.637209,937.4060820000001,10040.778,122927.0
Havering LB,241.0,41.0,Collection,40.0,16392.372,103940.0,10592.956,23127.546000000002,5728.356,4786.66,26911.528,249085.0
Hertsmere Borough Council,214.0,222.0,Collection,40.0,5085.674,42620.0,4826.762,8579.610999999999,1911.736,2914.78,9907.61,102998.0
High Peak Borough Council,99.0,289.0,Collection,40.0,3495.218009,41290.0,4879.51199,8631.6,1949.789431,2886.132559,8331.14,91496.0
Hillingdon LB,262.0,285.0,Collection,40.0,14256.460050999998,109480.0,11803.539948,21555.0,5904.539948,5899.0,26060.0,297735.0
Hinckley and Bosworth Borough Council,111.0,169.0,Collection,40.0,5840.9490000000005,48810.0,6152.904,9753.278,2493.488,3611.703,11936.766000000001,108769.0
Horsham District Council,342.0,411.0,Collection,40.0,8047.788132,59710.0,6877.354867,12341.357,3054.618431,3781.322435,14866.491000000002,135868.0
Hounslow LB,261.0,106.0,Collection,40.0,15535.380033000001,100380.0,7740.239966,21535.2,5407.219004,2106.5009609999997,23049.1,268770.0
Huntingdonshire District Council,188.0,123.0,Collection,40.0,8646.328000000001,75170.0,9169.511999999999,15047.274,2561.362,6608.15,17803.6,174966.0
Hyndburn Borough Council,61.0,277.0,Collection,40.0,4109.05,36690.0,2329.91,5897.08,1440.46,889.45,6438.96,80228.0
Ipswich Borough Council,231.0,282.0,Collection,40.0,8406.662901,60480.0,5902.909098,12378.13,2726.685246,3113.792852,14247.14,135600.0
Islington LB,245.0,337.0,Collection,40.0,10153.348151,106130.0,4898.4418479999995,14524.453000000001,3747.080728,1088.5911199999998,14988.18,227692.0
Kettering Borough Council,127.0,185.0,Collection,40.0,5124.34,43380.0,5756.923000000001,8816.802,2467.2129999999997,3289.71,10881.263,97650.0
Kings Lynn and West Norfolk Borough Council,222.0,329.0,Collection,40.0,8287.381062999999,72090.0,7550.693936,13840.22,3692.298579,3858.395357,15838.075,151013.0
Knowsley MBC,72.0,335.0,Collection,40.0,9756.15736,66100.0,5699.092639,12968.15,2597.592639,3101.5,15455.25,147231.0
Lambeth LB,268.0,233.0,Collection,40.0,15861.904912,139250.0,6272.5450869999995,20927.86,4555.705086999999,1705.87,22123.17,324431.0
Lancaster City Council,60.0,11.0,Collection,40.0,7674.78,63290.0,5946.880999999999,11529.362,2190.181,3756.7,13621.661,142283.0
Lewes District Council,288.0,240.0,Collection,40.0,5586.541875,44410.0,1838.4591239999997,7204.476,1494.404424,344.054699,7425.001,100693.0
Lichfield District Council,164.0,173.0,Collection,40.0,5187.50998,44060.0,6903.776019,9561.02,2824.988352,4078.7876659999997,12091.286,102706.0
Lincoln City Council,120.0,206.0,Collection,40.0,5810.675,44710.0,3865.5,8463.789,1837.38,2026.64,9674.695,97065.0
Liverpool City Council,71.0,412.0,Collection,40.0,32339.666394,221590.0,14416.293605,41105.632000000005,7838.583605,6511.11,46689.36,478580.0
Maidstone Borough Council,314.0,309.0,Collection,40.0,7244.835287000001,68000.0,7622.134712,13756.06,3654.9558380000003,3967.178873,14866.97,164499.0
Maldon District Council,198.0,368.0,Collection,40.0,2166.118,27460.0,3704.645,5306.335999999999,1489.745,2214.9,5870.763000000001,62743.0
Malvern Hills District Council,146.0,150.0,Collection,40.0,3929.2919479999996,34670.0,2488.4350510000004,6099.09,1771.941059,716.493992,6417.727,75731.0
Manchester City Council MBC,49.0,39.0,Collection,40.0,27543.404997,224540.0,16537.535002,40070.08,7330.677734999999,9109.447267,43983.53,530292.0
Mansfield District Council,135.0,374.0,Collection,40.0,6549.617399000001,48580.0,4558.1326,9528.144,1917.5669280000002,2640.5656719999997,11107.75,106556.0
Melton Borough Council,110.0,388.0,Collection,40.0,2688.4159999999997,22580.0,2629.167,4842.185,1250.382,1355.4160000000002,5294.214,50912.0
Mendip District Council,390.0,264.0,Collection,40.0,5869.030117,50820.0,4611.506882,10159.971,2575.716882,1994.6,10438.266,111724.0
Mid Devon District Council,365.0,127.0,Collection,40.0,3123.473,35250.0,3938.6240000000003,6698.217,1561.013,2353.76,7038.246,79510.0
Mid Suffolk District Council,230.0,352.0,Collection,40.0,9445.649822,83120.0,8291.461177,15738.242,4813.4333990000005,3473.1377780000003,17729.861,188847.0
Mid Sussex District Council,341.0,71.0,Collection,40.0,6885.37,61450.0,5068.05,11159.55,3149.25,1918.8,11953.42,145651.0
Mole Valley District Council,335.0,54.0,Collection,40.0,3668.6,37560.0,4937.03,8135.7,2321.03,2616.0,8605.63,86104.0
New Forest District Council,297.0,30.0,Collection,40.0,10062.94073,80920.0,4764.7292689999995,14963.1,3687.9692689999997,1076.76,14827.67,179023.0
Newark and Sherwood District Council,134.0,35.0,Collection,40.0,7757.418487999999,52760.0,3888.391511,10710.63,2474.119343,1414.272168,11645.81,118569.0
Newcastle-under-Lyme Borough Council,163.0,250.0,Collection,40.0,6320.642319,55430.0,6984.38268,10943.264,2266.91,4717.47268,13305.025,127045.0
Newham LB,240.0,121.0,Collection,40.0,26249.234313,110930.0,4498.0056859999995,27924.18,3455.035874,994.799811,30699.07,332817.0
North Devon District Council,364.0,109.0,Collection,40.0,5619.993,44660.0,5437.394,9755.493,1972.654,3420.978,11013.365,94172.0
North East Derbyshire District Council,98.0,25.0,Collection,40.0,5402.206999999999,45040.0,5927.8330000000005,9100.75,2208.058,3714.9,11330.04,99639.0
North Hertfordshire District Council,213.0,370.0,Collection,40.0,4772.663266,56730.0,7999.346732999999,11180.96,3344.04558,4651.231153,12767.94,131696.0
North Kesteven District Council,119.0,278.0,Collection,40.0,6725.241,49660.0,6385.15,10724.784,2288.39,4096.76,13110.391000000001,111876.0
North Norfolk District Council,221.0,389.0,Collection,40.0,6558.385515999999,53780.0,4634.100483,9730.955,2217.413354,2416.687128,11192.486,103308.0
North Warwickshire Borough Council,172.0,284.0,Collection,40.0,3813.53,27510.0,3760.5,6190.9,1297.08,2463.42,7573.93,62787.0
North West Leicestershire District Council,109.0,113.0,Collection,40.0,5613.553000000001,42410.0,6120.705,9152.278,1919.7079999999999,4197.495,11728.991000000002,97247.0
Northampton Borough Council,126.0,330.0,Collection,40.0,11881.921332,95300.0,9705.918667,18443.82,4227.195941,5470.182725,21579.3,222462.0
Norwich City Council,220.0,114.0,Collection,40.0,6974.246590000001,65150.0,4362.109409000001,11967.229,2800.7724329999996,1561.336976,11336.356000000002,138872.0
Nuneaton and Bedworth Borough Council,171.0,353.0,Collection,40.0,6819.269,55730.0,6370.161,10883.258,2297.752,4010.828,13189.43,126319.0
Oadby and Wigston Borough Council,108.0,183.0,Collection,40.0,2134.938,23020.0,2416.1,3561.2740000000003,998.44,1417.66,4551.038,55833.0
Oldham MBC,48.0,104.0,Collection,40.0,11568.487114,95480.0,8340.662885,17817.88,3787.932885,4552.73,19909.15,230823.0
Oxford City Council,325.0,116.0,Collection,40.0,6253.481178,60240.0,5830.828821,11291.1,3592.1910869999997,2238.637734,12084.31,159574.0
Pendle Borough Council,59.0,83.0,Collection,40.0,5745.756729,39990.0,3139.88327,8258.08,2000.8332699999999,1089.32,8835.91,90111.0
Preston City Council,58.0,223.0,Collection,40.0,9547.591759,61540.0,4604.32824,12436.396999999999,2494.1782399999997,2072.82,14111.87,141302.0
Redbridge LB,239.0,362.0,Collection,40.0,19752.765531999998,102610.0,8232.580467,24593.64,4443.018882,3707.981585,27903.766,296793.0
Redditch Borough Council,145.0,259.0,Collection,40.0,5317.016281,36050.0,1980.101718,7189.6,1882.6457010000001,97.456016,7297.118,84743.0
Reigate and Banstead Borough Council,334.0,188.0,Collection,40.0,5829.126037,59660.0,7080.173962000001,12054.0,3308.412925,3734.4610369999996,12872.0,144100.0
Ribble Valley Borough Council,57.0,294.0,Collection,40.0,3699.215732,25880.0,2428.3412670000002,5579.229,1156.218933,1272.122334,6127.557,58480.0
Richmond upon Thames LB,260.0,192.0,Collection,40.0,11202.493565,83540.0,8054.566434,17801.39,5019.269248,2847.697186,19064.47,194730.0
Richmondshire District Council,82.0,85.0,Collection,40.0,2484.301225,23060.0,2352.126774,4323.13,1117.816016,1223.867758,4825.986,52510.0
Rochdale MBC,47.0,253.0,Collection,40.0,9078.7,92710.0,9410.292,15641.735,3634.512,5775.78,18488.992,214195.0
Rochford District Council,197.0,28.0,Collection,40.0,2897.76,35350.0,5959.523,7584.969,2163.6710000000003,3736.16,8797.591,85144.0
Rossendale Borough Council,56.0,33.0,Collection,40.0,3883.9219799999996,31590.0,2543.3830190000003,6010.213000000001,1460.3730189999999,1083.01,6427.305,69487.0
