Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Forest of Dean District Council,520.18,588.67,108.9,2144.02,0,8.2,0.24,0,0,0,0,5.3,0,45.96,55.83,2.39,47.34,0,0
Rushmoor Borough Council,477.14,7.06,0,509,0,3,0,0,0,0,0,0,1206.24,46.4,0,0,0,0,0
Bromsgrove District Council,7.46,26.13,0.24,1415.14,0,4.6,0,0,0,0,0,19.49,2463.88,5.28,34.28,0,0,0,0
Three Rivers District Council,0,3.7,0,2666.05,0,4.91,0,0,0,0,0,0,2570.38,6.49,0,0,0,0,0
Isle of Wight Council,62.68,59.83,319.43,3099.71,0,233.98,7.72,6,0,19.7,1.2,472.972,3142,40.86,2.5,0,21,689.25,0
West Lancashire Borough Council,11.76,1173.093,3.33,2044.29,0,13.938,0,0,0,0,0,0.666,1391.95,25.12,10.64,0.221,0,0,0
North Yorkshire County Council,202.68,1262.375,885.899,2252.2,2183.84,742.489,28.992,29.447,0,60.22,9.85,79.04,2.72,165.934,0,0,92.96,262.612,0
Rushcliffe Borough Council,571.35,34.72,0,2312.54,0,0,3.33,0,0,0,0,13.55,1989.94,11.29,0,1.11,0,0,0
Newcastle-under-Lyme Borough Council,714.015,1026.688,159.456,3038.01,0,1.516,0,3.7,0,0,0,0,0,21.161,26.509,0.202,222.222,0,0
Epsom and Ewell Borough Council,502.77,508.76,90.29,1480.18,0,5.78,0,0,0,0,0,0,826.03,10.8,0,0,2.95,0,0
West Sussex County Council,0,1296.46,1416.96,5889.68,1317.85,1906.39,72.91,59.58,0,312.24,39.38,74.69,109.34,343.9,47.46,0,0,4716.98,0
Rochdale MBC,0,1723.34,0,3243.91,0,0,0,0,0,0,0,12.308,1956.732,53.636,0,0,0,0,0
Rotherham MBC,118.95,1881.226,240.403,2257.76,695.36,277.323,5.822,0,0,51.62,7.086,16.707,1589.832,110.792,0,0.995,118.694,851.43,0
Birmingham City Council,140.66,7173,413.36,6102.81,3005.16,587.72,2.2,0,0,0,2.65,73.69,5640.04,172.82,0,1.32,30.72,3508.53,0
Sutton LB,0,99.6,114.2,1581.84,573.29,140.64,3.01,0,0,5.12,1.82,0,4035.56,48.24,0,0.72,0,598.35,0
Cambridge City Council,8.926,36.491,0.666,2678.68,0,4.311,1.325,0,0,0,0,6.8,3060.28,160.44,0,0,1.704,0,0
Redditch Borough Council,6.49,10.46,0,0,0,7.01,0,0,0,0,0,2.3,2267.87,28.28,22.82,0,0,0,0
Lancashire County Council,249.16,1940.82,1602.411,1851.16,4289.42,1100.395,30.579,36.44,0,216.66,27.193,204.69,397.2,230.002,175.172,89.509,518.439,0,0.79
Lincolnshire County Council,96.139,508.125,550.233,3260.82,2096.93,957.366,7.575,0,177.28,232.22,7.102,20.6,0,116.292,36.64,214.811,164.35,1405.68,0
Nottingham City Council,27.94,71.59,96.24,2072.72,493.25,147.85,2.89,0,26.74,45.62,2.06,155.94,5067.21,19.73,0,0.65,58.28,2265.81,0
South Oxfordshire District Council,11.34,7.083,0,3737.32,0,8.06,0.83,0,0,0,0,0,4288.41,70.497,0,0,0.457,0,0
Mendip District Council,698.651,1150.583,96.8,1561,0,0,2.23,0,0,0,0,43.05,0,65.778,1.32,0,111.25,0,0
Stoke-on-Trent City Council,10.409,624.804,159.78,3147.44,766.48,275.979,6.176,0,66.72,64.36,2.22,20.012,3701.67,38.939,9.01,0.471,3.04,476.96,0
Runnymede Borough Council,17.104,93.51,0,1184.85,0,1.56,0,0,0,0,0,0,1727.8,18.87,19.61,0,0,0,0
Crawley Borough Council,0,0,0,361.44,0,18.42,0,0,0,0,0,0,1948.2,38.4,0,0,0,0,0
Trafford MBC,0,2847.02,0,6920.84,0,7.02,0,0,0,0,0,0,2623.86,7.25,0,0,0,0,0
Solihull MBC,1024.461,185.392,123.62,3953.86,475.4,158.116,0.42,0,0,17.56,3.588,63.798,3181.57,38.565,0,0,1.78,1599.76,23.12
Enfield LB,0,143.42,89.94,4208.88,0,161.08,8.14,0,0,0,3.14,0,6045.75,77.03,11.706,0,15.24,0,0
Bracknell Forest Borough Council,540.52,130.91,135.71,1866.57,0,167.92,5.79,4.99,61.07,30.5,3.27,65.05,1813.84,74.23,0,3.37,8.78,337.87,17.02
Allerdale Borough Council,188.98,1135.88,9.23,1198.2,0,3.58,0,0,0,0,0,0,771.86,0,0,0,0,0,0
