,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Leeds City Council MBC,2298.31,785.0100000000001,620.9,15884.25,2890.63,749.1899999999999,17.21,28.98,0.0,244.88,13.22,35.55,192.57,8917.93,229.10999999999999,6.8999999999999995,0.6,0.0,39.79
Barnet LB,14.11,241.67,201.75,6747.639999999999,1090.26,254.26,0.0,6.56,0.0,59.77,0.8,0.0,242.91000000000003,6694.49,36.26,3.42,0.0,908.28,0.22
Lambeth LB,2.76,114.66,63.72,1615.98,174.94,164.69,2.95,2.16,0.0,0.0,2.2399999999999998,63.08,65.53999999999999,4718.4400000000005,7.39,8.4,0.23,0.0,0.0
South Gloucestershire Council,1707.7300000000002,2823.16,749.35,7561.4800000000005,1840.0,469.70000000000005,16.0,19.5,0.0,135.3,13.38,22.8,469.31,0.0,0.0,653.6800000000001,21.830000000000002,1544.06,0.0
Derbyshire Dales District Council,0.0,692.6099999999999,0.0,2613.91,0.0,9.76,0.0,0.0,0.0,0.0,0.0,0.0,18.807,1103.91,0.0,0.0,0.0,0.0,0.0
Lewes District Council,586.758,831.0750000000002,75.557,383.43999999999994,0.0,4.8,2.033,0.0,0.0,0.0,0.0,0.0,20.984,0.0,0.0,89.96,1.279,0.0,0.0
Tendring District Council,454.647,1334.71,0.0,712.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.897,33.837,279.92,103.443,0.0,1.145,0.0,0.0
Forest of Dean District Council,540.64,558.63,104.58,3010.0,0.0,8.43,0.7,0.0,0.0,0.0,0.0,10.09,36.42,0.0,23.95,47.42,2.02,0.0,0.0
Rushmoor Borough Council,503.97999999999996,10.84,0.0,574.44,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,52.3,1158.76,0.0,0.0,0.0,0.0,0.0
Bromsgrove District Council,15.56,3.96,0.0,2243.72,0.0,5.4,0.0,0.0,0.0,0.0,0.0,46.59,18.2,2290.46,33.52,0.0,0.0,0.0,0.0
Three Rivers District Council,17.45,11.8,0.0,3586.26,0.0,6.88,0.0,0.0,0.0,0.0,0.0,0.0,10.08,2485.89,0.0,0.0,0.0,0.0,0.0
Isle of Wight Council,77.22,43.8,423.78000000000003,4339.35,160.18,254.51999999999998,13.04,23.0,0.0,27.45,7.48,0.0,18.740000000000002,3875.46,6.68,0.0,0.0,1126.45,0.0
West Lancashire Borough Council,21.450000000000003,1025.308,3.4050000000000002,3440.66,0.0,9.786999999999999,0.0,0.0,0.0,0.0,0.0,1.642,23.334999999999997,1291.56,5.901,0.0,6.071,0.0,0.0
North Yorkshire County Council,222.07999999999998,1189.7549999999999,1081.755,4579.94,2779.82,853.182,31.977,45.372,0.0,154.06,21.72,72.931,185.564,3.74,0.0,87.0,0.0,944.003,0.0
Rushcliffe Borough Council,569.72,25.866,0.0,3593.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0,128.47,16.448,1863.84,0.0,0.0,2.157,0.0,0.0
Newcastle-under-Lyme Borough Council,685.5930000000001,1013.065,153.268,4094.1400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.66,27.911,0.0,28.87,194.644,0.0,0.0,0.0
Epsom and Ewell Borough Council,506.0,477.39,89.44,1772.64,0.0,5.22,0.0,0.0,0.0,0.0,0.0,7.0,10.149999999999999,709.76,2.54,1.93,0.0,0.0,0.0
West Sussex County Council,0.0,1208.06,1732.5499999999997,10335.49,968.21,2094.96,89.51,79.67,0.0,317.74,31.11,51.92,220.26999999999998,115.34,45.9,0.0,0.0,7843.15,0.0
Rochdale MBC,0.0,1631.52,0.0,3063.24,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,12.29,1977.41,0.0,0.0,0.0,0.0,0.0
Rotherham MBC,120.94,1887.32,275.036,7205.06,0.0,321.703,10.647,0.0,0.0,55.15,8.538,30.267,310.613,1518.68,0.0,165.34,172.655,1416.75,0.0
Birmingham City Council,424.12,7022.869999999999,473.06,11816.76,2888.3,640.99,22.2,0.0,0.0,0.0,22.88,21.04,271.73,4235.6,0.0,35.8,1.52,5962.650000000001,0.0
Sutton LB,4.86,123.95,149.41,2440.2,776.82,170.38,6.67,5.6,0.0,17.5,2.3,0.72,47.82,3999.5,0.0,37.14,29.22,987.32,0.0
Cambridge City Council,3.97,99.86000000000001,0.277,2922.9399999999996,0.0,2.649,1.616,0.0,0.0,0.0,0.0,8.93,44.93,2854.076,0.0,0.582,0.0,0.0,0.0
Redditch Borough Council,14.45,1.08,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,2.45,42.53,2190.66,19.78,0.0,0.0,0.0,0.0
Lancashire County Council,206.07,1690.506,1804.762,4063.72,6307.01,1507.6080000000002,48.848,50.35,0.0,657.84,48.341,0.0,292.29,0.0,243.51,766.227,129.574,0.0,1.762
Lincolnshire County Council,98.03,498.44,754.91,6326.92,2628.49,1028.295,34.108,0.0,215.82,204.12,15.811,51.9,108.42,0.0,10.58,219.875,48.02,1809.6,0.132
Nottingham City Council,82.14,72.52,112.65,4775.52,567.27,195.36,1.65,0.0,46.29,30.72,2.11,119.85,62.39,4919.400000000001,0.0,82.4,2.85,2156.98,0.0
South Oxfordshire District Council,8.9,8.184,0.0,4264.16,0.0,3.269,0.518,0.0,0.0,0.0,0.0,239.97,87.10499999999999,4192.72,0.46,0.476,0.0,0.0,0.0
Mendip District Council,758.8849999999999,1095.376,91.45500000000001,1805.73,0.0,0.0,9.417,0.0,0.0,0.0,0.0,25.015,69.288,0.0,7.273,164.90699999999998,0.0,0.0,0.0
Stoke-on-Trent City Council,14.933,764.497,193.0,5857.379999999999,1030.74,277.41499999999996,9.943,0.0,0.0,59.08,4.95,10.8,43.835,3493.88,14.12,1.82,1.6280000000000001,988.38,0.0
Runnymede Borough Council,28.335,14.418,0.0,1245.33,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,15.885,1827.58,0.0,0.0,0.0,0.0,0.0
Crawley Borough Council,0.0,0.0,0.0,620.5,0.0,7.34,0.0,0.0,0.0,0.0,0.0,0.0,41.31,1831.22,0.0,0.0,0.0,0.0,0.0
Trafford MBC,0.0,2818.8199999999997,0.0,8667.3,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,30.88,2628.84,0.0,0.0,0.0,0.0,0.0
Solihull MBC,1013.266,1581.495,155.345,6437.7,668.78,178.39499999999998,3.31,0.0,0.0,18.82,3.4179999999999997,54.702,62.107000000000006,1169.29,0.0,14.184000000000001,0.0,1307.3200000000002,32.285
Enfield LB,0.0,170.93,130.0,6212.950000000001,218.89,169.16500000000002,2.66,0.0,0.0,0.0,1.48,176.18,105.535,6362.59,15.88,48.82,0.0,0.0,0.0
Bracknell Forest Borough Council,646.46,132.3,171.60000000000002,2652.38,0.0,207.81,5.96,4.79,174.99,34.82,4.26,50.419999999999995,98.15,1791.3200000000002,0.0,9.4,7.82,533.47,26.43
Allerdale Borough Council,305.62,1165.78,9.82,2774.22,0.0,6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.24,0.0,8.16,0.0,0.0,0.0
Bolsover District Council,17.727,350.81600000000003,0.0,2547.82,0.0,7.300000000000001,0.0,0.0,0.0,0.0,0.0,0.92,5.2330000000000005,1264.54,0.0,0.0,0.0,0.0,0.0
Wyre Forest District Council,15.19,27.5,0.0,529.92,0.0,4.34,0.0,0.0,0.0,0.0,0.0,150.4,18.47,2539.52,0.0,0.0,0.0,0.0,0.0
Hyndburn Borough Council,449.56000000000006,655.27,3.59,808.32,26.14,10.31,0.65,0.93,0.0,0.0,0.0,0.0,2.56,272.89,24.7,1.86,0.0,0.0,0.0
North Kesteven District Council,29.7,0.0,0.0,3430.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.46,3.515,2849.04,0.0,0.0,7.24,0.0,0.0
Hambleton District Council,608.4,692.22,98.67999999999999,3531.16,0.0,2.225,0.0,0.426,0.0,0.0,0.0,0.0,30.486,0.0,0.0,97.17,1.63,0.0,0.0
South Somerset District Council,1149.034,1697.7859999999998,139.61700000000002,2726.7200000000003,0.0,0.0,11.768,0.0,0.0,0.0,0.0,38.994,89.89699999999999,0.0,27.215,239.547,0.0,0.0,0.0
Ipswich Borough Council,470.78999999999996,185.56,27.66,3255.56,21.74,44.1,0.0,0.0,0.0,1.88,0.0,244.19,15.46,2249.4100000000003,50.07,0.0,0.73,2.6,0.0
Waverley Borough Council,0.0,47.03,0.0,1783.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,25.0,19.47,3387.0,0.0,0.0,0.0,0.0,0.0
North Warwickshire Borough Council,511.33000000000004,795.1300000000001,148.28,2364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillingdon LB,130.0,291.0,150.0,5732.0,0.0,177.0,2.0,9.0,0.0,26.0,6.0,0.0,150.0,4933.0,0.0,38.0,98.0,292.0,0.0
Windsor and Maidenhead Borough Council,0.0,70.0,155.0,3274.0,531.0,170.14,8.5,0.0,123.0,21.0,3.0,16.0,26.0,3990.0,0.0,0.0,0.0,364.0,0.0
Eden District Council,0.0,575.2,0.0,1538.5500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.349,21.42,531.06,0.0,36.06,0.0,0.0,0.0
High Peak Borough Council,631.39,0.0,0.0,2308.54,0.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,9.629999999999999,1475.71,37.59,0.0,1.64,0.0,0.0
Poole Borough Council,0.0,138.35999999999999,241.07000000000002,3506.54,955.95,286.12,9.72,11.1,0.0,69.54,5.22,17.3,57.56999999999999,3716.22,29.3,0.0,0.0,634.01,0.0
Eastbourne Borough Council,354.54,1.17,0.0,1549.498,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,30.702,1665.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire County Council,99.89999999999999,674.2620000000001,875.383,3853.3,2351.56,694.594,29.107,0.0,943.44,270.68,25.599999999999998,36.661,105.494,0.0,0.0,33.614999999999995,0.135,1609.6,0.0
Dartford Borough Council,414.22,15.63,2.91,461.26,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,22.25,1614.32,0.0,0.0,0.0,0.0,0.0
Ribble Valley Borough Council,19.61,505.84,2.32,1062.86,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,2.847,644.2800000000001,0.0,0.0,0.0,0.0,0.0
Scarborough Borough Council,246.24,0.0,17.02,3112.1200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2779.99,0.0,6.33,0.0,0.0,0.0
Waveney District Council,564.795,0.0,0.0,4694.009999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.58,8.39,2430.38,0.0,0.0,0.0,0.0,0.0
Warwick District Council,775.41,1167.6,124.29999999999998,4537.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.14,30.415,253.38,0.0,244.38,0.0,0.0,0.0
Bury MBC,0.0,1914.42,0.0,4410.02,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,7.77,2008.4,0.0,0.0,0.0,0.0,0.0
Brent LB,5.1,105.89999999999999,65.57000000000001,4600.86,4.78,49.16,0.0,0.0,12.62,0.0,1.1,230.53,145.92000000000002,5073.34,0.0,10.549999999999999,0.0,34.58,0.0
Merton LB,15.98,140.01,147.54999999999998,2122.2400000000002,701.77,184.0,4.86,0.0,0.0,21.3,1.3,2.04,127.55,3946.2599999999998,0.0,70.64,30.72,973.74,0.0
East Devon District Council,1243.96,1379.4,0.0,1514.137,0.0,2.9,0.0,0.0,0.0,0.0,0.0,363.34,89.945,166.24,9.6,180.48,0.0,0.0,0.0
Rother District Council,557.94,74.681,2.58,1779.663,0.0,19.36,0.0,0.0,0.0,0.0,0.0,0.0,50.548,1576.5520000000001,0.0,0.0,0.716,0.0,0.0
