,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Braintree District Council,770.06,95.364,0.0,5308.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.344,22.988,2502.54,0.598,0.0,0.0,0.0,0.0
Essex County Council,385.79,1571.8089999999997,1807.54,9409.906,8334.32,1512.808,26.066,73.531,0.0,369.22,63.613,0.0,279.86,0.0,84.705,22.81,0.0,0.0,75.134
Hampshire County Council,796.08,1758.8,3573.74,19111.78,0.0,1613.51,122.44,0.0,0.0,483.96,54.339999999999996,1854.73,294.38,0.0,0.0,27.08,0.0,10684.88,0.0
Thanet District Council,104.37,1216.1200000000001,4.7,1897.2199999999998,0.0,15.37,0.0,0.0,0.0,0.0,0.0,0.0,27.33,1229.24,0.0,0.0,0.0,0.0,0.0
Burnley Borough Council,16.98,627.77,0.0,1180.08,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,3.89,730.44,14.38,0.0,0.0,0.0,0.0
Boston Borough Council,47.61,3.66,0.36,2039.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.59,21.874,1670.96,0.0,1.0,0.0,0.0,0.0
South Northamptonshire District Council,0.0,19.76,27.07,3997.44,0.0,14.86,2.568,0.0,44.56,0.0,1.5,0.0,35.224999999999994,2329.14,0.0,2.79,0.0,108.9,0.0
Tamworth Borough Council,14.081,10.85,0.0,2080.65,0.0,2.475,0.0,0.0,0.0,0.0,0.0,123.415,28.64,2104.11,0.0,0.0,0.0,0.0,0.0
Spelthorne Borough Council,0.0,0.97,0.0,1383.26,0.0,0.93,0.0,0.0,0.0,0.0,0.0,10.0,1.58,2355.8,0.0,0.0,0.18,0.0,0.0
Horsham District Council,64.78,60.14,0.0,3482.31,0.0,7.640000000000001,0.0,0.0,0.0,0.0,0.0,0.0,34.74,3294.31,14.34,0.0,0.0,0.0,0.0
Liverpool City Council,3.98,2.8,84.5,6266.4,86.96,260.985,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7077.74,62.4,0.0,0.0,0.0,0.0
Barking and Dagenham LB,85.4,101.1,197.6,2093.9,1041.6,156.9,3.7,3.7,0.0,0.0,4.0,552.3,32.3,2286.5,0.4,51.6,0.0,83.1,2.3
Royal Borough of Kingston upon Thames ,898.541,1874.858,307.647,2888.68,729.28,199.359,2.812,0.0,0.0,28.88,4.6,0.84,69.89699999999999,0.0,114.856,541.988,33.811,993.02,0.0
Wiltshire,3044.54,3941.0200000000004,1656.4799999999998,15280.82,0.0,1047.35,47.5,56.42,368.0,245.19,21.94,0.0,257.28,3166.86,36.52,356.78999999999996,7.050000000000001,820.53,18.37
Cornwall,684.3,1049.05,1436.65,9822.43,2864.78,916.19,38.49,93.53,0.0,377.2,9.34,0.24,109.39,8219.68,80.0,39.7,0.0,3720.35,0.0
Bedford,515.6600000000001,193.85999999999999,155.71,4052.8999999999996,0.0,231.05,9.03,4.82,0.0,23.16,5.5,61.65,37.88999999999999,2905.45,0.0,43.54,0.0,285.28000000000003,47.6
Central Bedfordshire,1292.6399999999999,315.5,433.57,7034.18,579.26,402.9600000000001,46.73,66.17999999999999,0.0,60.75,12.299999999999999,31.92,114.8,5215.9,0.0,10.5,0.0,1536.18,0.0
Shropshire,1272.99,2573.31,373.92,13152.245000000003,1003.14,453.86,20.36,21.32,0.0,54.22,15.18,57.92,125.50999999999999,1808.2900000000002,0.0,68.86,8.5,404.72,0.0
Cheshire East,138.54,589.16,519.23,15035.400000000001,1860.52,590.36,18.19,0.0,0.0,0.0,16.08,283.3,206.71,9620.6,45.16,143.74,0.0,3320.87,0.0
Cheshire West and Chester,2409.42,3856.27,990.3190000000001,14736.04,1930.08,576.866,20.258,0.0,0.0,0.0,17.72,145.32,335.55899999999997,0.0,93.19,1148.73,0.0,3218.97,5.676
Northumberland,1305.9,424.9,477.1,7742.1,1410.9,537.9,17.6,27.200000000000003,0.0,113.5,13.2,83.8,393.3,5152.2,0.0,172.2,2.2,1875.1,0.0
County Durham,2799.9700000000003,544.19,619.51,12670.060000000001,2381.77,522.57,15.02,51.879999999999995,0.0,245.18,14.26,194.71,388.95000000000005,9161.33,0.0,327.78000000000003,1.1,3649.54,0.0
Dorset Waste Partnership,2945.13,2242.2000000000003,1428.5700000000002,15440.86,2545.68,774.17,33.86,25.95,0.0,195.38,26.55,438.28,328.77,5296.4800000000005,47.81,141.16,6.48,1468.9,25.5
