Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
East Staffordshire Borough Council,6.749,450.562,0.441,0,2487.94,0,0,0,0,0,0,0,0,7.573,2209.09,6.888,0,0,0
Surrey County Council,127,1532,1382,29,6552,0,1388,57,13,0,120,42,92,392,0,0,0,988,0
Manchester City Council MBC,32.3,3795.74,0,0,6433.72,0,63.48,0,0,0,0,0,0,90.71,4018.16,0,0,0,0
Barnsley MBC,59.48,1828.65,252.291,65.96,2477.78,669.2,240.16,3.455,0,0,30.48,4.958,3.9,89.742,2125.93,0,0.453,545.22,0
Havering LB,474.34,147.59,161.13,18.43,2197.49,741.31,175.38,8.08,5.15,0,31.12,2.58,0,58.82,3135.4,3.07,0.8,378.31,0.73
Wealden District Council,522.68,5.645,0,0,2781.4,0,2.42,0,0,0,0,0,0.165,41.636,3490.53,0,0,0,0
Uttlesford District Council,0,0,2.26,0,1419.76,0,0,0,0,0,0,0,0,14.773,2594.86,0,0,0,0
Stroud District Council,0,1293.944,6.52,0,1337.52,0,18.19,0,0,0,0,0,3.66,124.937,1530.76,67.377,0,0,0
Test Valley Borough Council,631.59,1.78,8.89,0,956.56,0,4.18,0,0,0,0,0,0,94.05,2142.16,0,1.49,0,0
Welwyn Hatfield Council,38.96,486.84,0,0,2640.13,0,13.05,0,0,0,0,0,0,16.16,1668.42,0,0,0,0
York City Council,1136.367,1648.89,347.147,330.052,2934.971,798.86,314.97,6.78,0,0,15.04,6.35,0,91.84,669.53,0,2.63,0,0
Cherwell District Council,743.24,17.53,11.64,0,3949.54,0,0,2.75,0,0,0,0,0,96.25,2776.36,0,0,0,0
Telford and Wrekin Council,1.3,1633.46,168.07,11.52,3115.86,512.1,247.16,2.82,17.04,2.5,45.54,7.68,2.59,151.12,2127.68,0,1.06,8.1,15.17
South Staffordshire Council,0,1.3,0,0,2327.4,0,3.3,0,0,0,0,0,0,4.59,2688.14,0,0,0,0
Mole Valley District Council,0,39.48,0,0,2129.98,0,7.17,0,0,0,0,0,0,8.22,2632.06,0,0,0,0
Arun District Council,0,0,0,0,1443.5,0,15.94,0,0,0,0,0,0,35.24,3598.36,0,0,0,0
Stockport MBC,0,3402.77,0,0,7715.2,0,12.94,0,0,0,0,0,0,20.756,3155.17,0,0,0,0
Dudley MBC,1312.38,2522.952,155.26,0,427.93,171.4,151.76,6.709,4.28,0,56.64,5.87,22.256,45.358,792.27,0,206.975,535.6,0
Lewisham LB,0,29.34,7.28,27.99,843.28,117.04,67.92,2.25,0,0,0,0,304.37,35.64,4460.74,0,76.3,248.73,0
