Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Boston Borough Council,44.19,8.13,0.078,0,1701.96,0,4.39,0,0,0,0,0,0,16.18,1779.28,0,0,0,0
South Northamptonshire District Council,13.57,22.24,30.66,0,4887.9,0,19.663,3.442,0,101.78,0,7.4,0,55.77,2468.96,0,0,131.66,0
Tamworth Borough Council,11.186,0.856,0,0,2134.57,0,0,0,0,0,0,0,0,28.615,2071.44,0,0,0,0
Spelthorne Borough Council,0,0.94,0,0,1780.76,0,4.69,0,0,0,0,0,0,37.56,2366.12,1.58,1.31,0,0
Horsham District Council,17.58,28.95,0,0,4188.124,0,18.99,0,0,0,0,0,0,33.078,3219.47,17.766,0,0,0
Liverpool City Council,0,3.08,0,0,6541.06,0,0,0,0,0,0,0,727.94,81.01,7299.46,67.46,0,0,0
Barking and Dagenham LB,67.27,95.37,248.69,56.56,2708.87,1188.11,190.89,9,10.04,0,0,6.49,0,40.7,2448.25,0.42,0,779.56,0.95
Royal Borough of Kingston upon Thames ,23.735,1959.658,199.878,36.174,2967.69,729.65,219.215,2.05,0,0,22.22,4.7,0.27,74.825,1506.73,354.66,3.82,804.74,0
Wiltshire,3265.99,3270.36,1746.17,462.12,13297.88,1606.13,1100.26,48.62,44.91,243.78,280.66,23.9,2.67,213.56,3452.42,33.72,5.42,670.84,18.7
Cornwall,656.5,1258.61,1977.164,48.06,9637.84,3534.092,974.267,55.655,11.31,0,104.34,20.95,0,137.08,7826.1,51.995,0,701.58,6.898
Bedford,529.54,179.85,224.8,6.84,4983.24,0,248.7,11.49,11.2,0,15.7,5.96,69.18,108.981,2739.92,0,0,322.06,58.8
Central Bedfordshire,1220.69,262.26,435.57,55.13,7694.12,0,373.76,18.9,35.37,0,44.04,12.95,13.72,112.12,4964.78,0,0,1456.08,43.48
Shropshire,582.78,2516.85,544.6,68.67,14771.68,1376.76,583.41,26.88,32.32,0,102.06,15.9,48.01,298.43,2679.8,0,10.36,511.92,0
Cheshire East,137.26,515.34,626.17,31.28,16312.98,2020.81,563.86,18.42,0,0,82.95,12.83,346.78,174.57,9361.82,35.77,0,3074.64,0
Cheshire West and Chester,2620.25,3637.7,1320.907,1056.143,15527.4,2109.5,587.382,27.87,0.76,0,0,19.409,191.44,256.395,0,89.9,0,3356.71,8.72
Northumberland,1364.3,6.2,681.9,179.5,6345,1566.2,541.4,19.7,34.4,0,35.7,9.6,63.6,377.3,5122.7,0,2.3,550.1,0
County Durham,2777.21,500.83,828.55,288.9,10418.49,2734,734.98,18.6,39.61,0,288.7,15.75,158.75,172.88,9343.71,0,0,4093.68,0
Dorset Waste Partnership,3169.58,1028.81,1779.25,143.73,18405.42,3375.38,839.23,49.5,32.28,0,253.38,30.47,398.28,232.04,6702.15,45.84,5.85,1677.89,6
Cambridge City and South Cambs Councils,0,825.53,0,0,10040.16,0,0,1.11,0,0,0,0,20.49,35.19,6462.76,0,0,0,0
