Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Lewes District Council,582.578,867.711,91.718,298.22,0,3.96,0,0,0,0,0,0,19.47,0,0,1.282,91.282,0,0
Tendring District Council,438.69,1313.84,0,600.1,0,0,0,0,0,0,0,229.302,23.842,270.76,110.962,0.968,0,0,0
Forest of Dean District Council,551.42,568.82,121.5,1374.72,0,5.14,1.53,0,0,0,0,6.78,42.88,0,52.16,2.33,44.98,0,0
Rushmoor Borough Council,516.48,6.89,0,231.36,0,2.52,0,0,0,0,0,0,47.03,1198.6,0,0,0,0,0
Bromsgrove District Council,10.27,20.5,0,520.16,0,4.56,0,0,0,0,0,509.49,19.26,2456.74,34.56,0,0,0,0
Three Rivers District Council,12.59,3.05,0,1885.28,0,3.88,0,0,0,0,0,0,10.54,2722.2,0,0,0,0,0
Isle of Wight Council,53,63,398,2532,764,110,15,13,0,25,2,0,30,3433,5,0,73,794,0
West Lancashire Borough Council,20.61,1071.701,3.305,1244.96,0,10.71,0,0,0,0,0,0.554,22.83,1430.2,7.354,6.618,0,0,0
North Yorkshire County Council,229.6,1305.061,968.644,1633.48,2321.93,797.187,35.081,29.093,0,145.78,12.39,83.423,219.979,3.44,0,0,111.46,290.936,0
Rushcliffe Borough Council,534.63,22.73,0,1279.62,0,0,3.1,0,0,0,0,245.72,10.3,1898.56,0,2.32,0,0,0
Newcastle-under-Lyme Borough Council,702.825,1074.922,157.612,1528.64,0,4.66,0,0,0,0,0,881.02,22.079,0,18.85,1.54,222.082,0,0
Epsom and Ewell Borough Council,466.77,519.96,94.2,1096.76,0,6.38,0,0,0,0,0,578,24.79,768.64,2.04,0,1.69,0,0
West Sussex County Council,0,1292.61,1370.98,3692.18,841.21,2024.9,113.01,65.01,0,320.49,17.08,74.68,382.19,108.11,39.35,0,0,4271.76,0
Rochdale MBC,0,1684.46,0,901.04,0,0,0,0,0,0,0,26.15,26.587,2007.98,0,0,0,0,0
Rotherham MBC,140.74,1988.316,231.658,341.16,736.4,268.761,7.147,0,0,46.46,5.845,17.617,232.973,1681.026,0,204.663,123.82,853.32,0
Birmingham City Council,307.96,6926.07,413.43,2813.33,2685.72,579.07,20.99,0,0,0,19,47.58,241.08,4935.42,0,1.65,61.79,2707.92,0
Sutton LB,3.06,90.06,118.15,385.58,602.99,161.91,6.32,5.82,0,20.42,2.4,0.8,34.65,4022.3,0,37.4,46.64,554.62,0
Cambridge City Council,4.208,41.118,0.687,1650.98,0,6.95,1.275,0,0,0,0,30.82,34.641,3018.09,0,0,0.593,0,0
Redditch Borough Council,8.85,11.82,0,0,0,5.71,0,0,0,0,0,401.76,27.88,2147.01,19.72,0,0,0,0
Lancashire County Council,176.54,1785.197,1989.704,1512.98,5119.42,1365.375,41.027,517.38,0,243.9,32.255,0,263.14,0,223.2,80.52,578.99,0,2.16
Lincolnshire County Council,109.85,578.305,479.262,2133.22,2136.63,1024.637,34.993,0,83.5,195.88,5.46,27.66,135.775,0,22.01,67.401,170.145,1200.74,0
Nottingham City Council,63.62,83.83,92.53,603.46,427.61,147.49,3.51,0,12.64,31.7,2.37,272.67,29.98,5224.27,0,0.89,67.71,2200.95,0
South Oxfordshire District Council,9.4,9.291,0,2451.16,0,1.85,0,0,0,0,0,238.32,69.845,4460.47,0,0,0.694,0,0
Mendip District Council,797.943,1225.672,107.577,1127.03,0,0,3.825,0,0,0,0,32.205,57.74,0,7.933,0,147.941,0,0
Stoke-on-Trent City Council,19.357,265.43,156.608,443.24,776.91,282.727,6.13,0,55.36,60.68,4.93,466.04,44.956,3841.56,11.6,0.423,0,481.3,0
Runnymede Borough Council,34.06,10.785,0,877.82,0,0,0,0,0,0,0,453.06,11.642,1774.15,33,0,0,0,0
Crawley Borough Council,0,0.05,0,323.79,0,17.42,0,0,0,0,0,0,36.93,1920.3,0,0,0,0,0
Trafford MBC,0,2906.67,0,5016.68,0,4.22,0,0,0,0,0,0,29.33,2723.5,0,0,0,0,0
Solihull MBC,1188.918,234.15,113.18,628.58,488.31,168.531,6.431,0,0,27.87,3.956,50.636,50.451,3206.45,0,0,0.8,917.43,22.2
Enfield LB,0,145.73,100.16,2761.61,0,169.05,2.38,0,0,17.5,1,203.42,86.995,6284.03,18.697,0,25.3,265.8,0
Bracknell Forest Borough Council,645.38,131.15,136.58,1094.01,502.19,189.09,6.14,4.13,84.45,33.3,2.3,56.52,103.21,1891.02,0,4.87,8.42,369.28,19.17
Allerdale Borough Council,173.98,1161.66,8.34,610.36,0,5.66,0,0,0,0,0,0,0,759.94,0,0,6.24,0,0
Bolsover District Council,19.441,344.439,0,391.66,0,9.1,0,0,0,0,0,1.12,8.121,1385.68,0,0,0,0,0
Wyre Forest District Council,22.88,2.85,0,125.5,0,2.46,0,0,0,0,0,352.66,19.26,2582.12,0,0,0,0,0
Hyndburn Borough Council,530.57,723.76,4.2,171.41,13.53,9.16,0.85,0,0,0,0,0,2.96,294.5,21.51,0,0,0,0
North Kesteven District Council,36.51,0,0,1081.04,0,0,0,0,0,0,0,128.69,4.631,2857.73,0,7.5,0,0,0
Hambleton District Council,591.66,704.39,99.24,931.47,0,1.99,0,0.307,0,0,0,339.813,24.018,0,0,1.41,101.54,0,0
South Somerset District Council,1220.294,1853.086,159.384,1783.42,0,0,5.008,0,0,0,0,51.27,71.676,0,23.991,0,218.688,0,0
Ipswich Borough Council,472.84,155.88,13.36,1293.3,32.26,49.52,0,0,0,2.54,0,179.22,85.21,2204.77,57.23,0.1,0,0,0
Waverley Borough Council,0,69.97,0,1428,0,4,0,0,0,0,0,1798,35.18,3422,36,0,0,0,0
North Warwickshire Borough Council,195.56,894.4,58.07,973.96,0,0,0,0,0,0,0,77.57,0.65,0,0,0,131.55,0,0
Hillingdon LB,101,310,132,2076,234,180,2,0,0,30,2,0,208,5523,0,112,28,207,0
Windsor and Maidenhead Borough Council,0,81.02,113.28,1736.36,397.82,173.94,5.56,0,43.08,22.4,0,20.86,21.96,3854,0,0,0,270.44,0
Eden District Council,0,583.15,0,421,0,5.98,0,0,0,0,0,198.783,15.88,511.85,0,0,36.78,0,0
High Peak Borough Council,682.98,0,0,977.08,0,3.12,0,0,0,0,0,0,9.26,1549.46,65.77,1.67,0,0,0
Poole Borough Council,0,122.37,190.26,1391.54,767.47,269.66,9.37,1.14,0,35.4,2.38,13.52,41.83,3950.41,24.61,0,0,199.95,0
Eastbourne Borough Council,345.4,0.97,0,578.706,0,2.46,0,0,0,0,0,0,27.545,1521.54,0,0,0,0,0
Gloucestershire County Council,87.2,649.292,669.608,1271.26,1888.74,728.039,24.666,0,333.88,287.74,18.4,36.596,85.2,0,0,0.13,22.73,1891.98,0.3
Dartford Borough Council,416.11,16.97,1.64,176.28,0,3.8,0,0,0,0,0,0,20.01,1660.9,0,0,0,0,0
Ribble Valley Borough Council,13.6,531.38,1.1,372.36,0,2.56,0,0,0,0,0,0,4.984,704.3,0,0,0,0,0
Scarborough Borough Council,0,62.154,9.801,389.864,0,0.094,0,0,0,0,0,0.452,207.419,2674.4,26.081,0,12.555,0,0
Waveney District Council,516.089,0,0,1926.18,0,0,0,0,0,0,0,217.25,18.342,2419.24,0,0,0,0,0
Warwick District Council,861.32,1330.86,123.93,2041.36,0,0,0,0,0,0,0,546.38,23.58,157.86,0,0,282.38,0,0
