Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Teignbridge District Council,883.76,796.696,152.486,4436.87,12.72,7.595,1.675,0,0,0,0,232.13,51.691,0,181.722,33.224,2.322,0,0
Braintree District Council,682.46,63.01,0,5384.94,0,0,0,0,0,0,0,137.12,26.45,2377.22,0,0.215,0,0,0
Essex County Council,386.48,1544.089,1370.6,9314.86,9317.35,1056.941,29.189,41.665,0,445.02,44.575,0,222.78,0,31.563,43.655,0,0,21.675
Hampshire County Council,779.96,1738.22,4180.36,19368.75,0,1477.83,133.49,0,4220.63,522.19,59.54,1981.96,376.54,0,22.98,0,0,7838.25,0
Thanet District Council,56.4,1182.42,11.78,1652.18,0,15.16,0,0,0,0,0,0,27.37,1133.29,0,0,0,0,0
Burnley Borough Council,18.64,609.97,0,1221.4,0,3.18,0,0,0,0,0,0,6.3,746.34,0,11.95,0,0,0
Boston Borough Council,46.3,9.59,1.48,1848.94,0,0,0,0,0,0,0,0,18.99,1668.6,0,0,0,0,0
South Northamptonshire District Council,16.32,14.28,22.93,4513.32,0,23.66,5.973,0,85.42,0,0,0,61.73,2412.44,1.3,0,0,150.04,0
Tamworth Borough Council,18.876,8.337,0,2125.27,0,0,0,0,0,0,0,0,28.89,1959.91,0,0,0,0,0
Spelthorne Borough Council,0,1.32,0,1474.78,0,0,0,0,0,0,0,0,37.11,2202.56,0,0,0.33,0,0
Horsham District Council,64.26,44.41,0,3860.68,0,10.1,0,0,0,0,0,0,31.16,3033.21,0,16.17,0,0,0
Liverpool City Council,0,1.87,0,6663.992,0,0,0,0,0,0,0,609.19,164.1,6861.4,0,51.36,0.472,0,0
Barking and Dagenham LB,56.8,91.8,198.1,1787.1,1238.5,181.1,8.2,7,0,0,5.4,0,33.6,1229.16,9.7,0.2,0,766.5,2
Royal Borough of Kingston upon Thames ,808.88,1731.98,291.236,2941.42,685.72,224.968,10.019,0,0,20.18,4.2,3.46,67.116,0,582.58,382.551,50.6,997.1,0
Wiltshire,3169.17,3856.19,1767.33,14630.98,1211.99,1669.33,56.76,63.53,523.99,253.7,24.4,2.99,271,3235.24,427.73,49.32,12.16,1178.87,30.82
Cornwall,524.52,1021.08,1577.2,9965.16,3003.823,805.25,51.043,6.25,0,101.9,2.38,0,108.36,7785.34,44.14,103.096,0,643.62,0
Bedford,486.56,174.14,186.76,4538.94,114.14,230.99,11.95,7.74,0,25.52,4.61,67.45,104.21,2807.64,6.02,0,0,323.28,51.8
Central Bedfordshire,1398.79,336.68,539.63,7674.31,26.44,169.93,9.07,0,0,70.42,14,29.32,116.53,5138.4,14.12,0,0,2074.72,0
Shropshire,1215.861,2605.69,461.47,13847.01,1104.22,490.3,22.04,22.2,0,74.52,13.74,52.21,270.57,1675.18,83.3,0,9.23,509.42,0
Cheshire East,126.5,530.54,575.5,15776.61,2032.18,602.21,20.09,0,0,0,16.92,291.49,210.21,9704.95,124.39,30.99,0,3648.7,0
Cheshire West and Chester,2399.4,3666.395,1243.973,15456.34,2065.45,597.056,20.57,0.72,0,0,17.647,160.3,194.753,0,1072.33,84.767,0,3555.59,3.084
Northumberland,1331.6,403.4,584.2,7308.8,1536.1,536.5,22.4,33.9,0,115.2,11.3,53,363.4,5081.7,179.1,0,2.8,2001.4,0.7
County Durham,2592.64,554.68,729.88,9476.06,2680.61,553.16,12.56,67.73,0,229.5,12.78,170.27,407.23,9508.25,329.44,0,0,3967.32,0
Dorset Waste Partnership,3255.22,1326.17,1520.36,16732.82,2867.98,790.6,33.3,25.17,0,219.66,28.25,398.48,288.55,6832.16,157.63,40.66,5.81,1786.09,19.5
