,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Luton Borough Council,501.49,391.44000000000005,262.57,3945.7200000000003,952.83,247.64,9.72,11.92,363.36,84.7,9.200000000000001,23.380000000000003,175.88,2506.74,0.0,0.0,0.0,0.0,0.0
Buckinghamshire County Council,74.24,1043.96,1087.0100000000002,7154.43,3523.79,958.4300000000001,41.029999999999994,32.9,0.0,232.94,20.03,102.26,176.68,0.0,58.72,2.5,0.0,0.0,0.0
Chesterfield Borough Council,543.06,3.644,0.0,3728.3,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.44,18.874,1673.25,0.0,0.0,0.0,0.0,0.0
West Devon Borough Council,469.38,545.546,56.564,1535.9740000000002,0.0,2.63,0.38,0.0,0.0,0.0,0.0,297.82,26.108999999999998,0.0,29.497,60.201,0.26,0.0,0.0
Bournemouth Borough Council,48.269999999999996,195.97,232.95,5008.7300000000005,1318.86,223.43,9.28,13.06,0.0,153.4,4.7,90.87,52.72,4166.83,14.63,24.05,0.0,1349.24,0.0
Colchester Borough Council,947.1479999999999,1687.818,156.0,3461.5,0.0,8.01,0.0,0.0,0.0,0.0,0.0,169.062,49.125,0.0,0.0,464.44,3.143,0.0,0.0
Fareham Borough Council,515.82,35.98,0.14,1472.88,0.0,4.68,0.0,0.0,0.0,0.0,0.0,0.0,66.02,1750.0400000000002,0.0,0.6,0.0,0.0,0.0
Dacorum Borough Council,1016.8900000000001,1000.1500000000001,111.81,5654.71,0.0,19.758000000000003,0.0,0.0,0.0,0.0,0.0,0.0,13.24,29.64,0.0,279.78,6.92,0.0,0.0
Medway Borough Council,75.19999999999999,264.79,482.43999999999994,9475.34,1662.33,441.71999999999997,35.0,16.22,0.0,97.34,15.32,15.09,73.94999999999999,4470.3099999999995,31.04,158.06,139.36,2120.0,0.0
Lancaster City Council,64.92,1201.1000000000001,8.68,3908.2799999999997,1.54,24.15,0.0,0.0,0.0,0.0,0.0,0.0,54.15,1060.59,79.36,0.0,8.921,0.0,0.0
South Holland District Council,29.02,26.338,1.111,112.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.72,48.126,2207.44,0.0,0.0,0.0,0.0,0.0
Bassetlaw District Council,209.54999999999998,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.75,19.07,1595.56,0.0,0.0,0.27,0.0,0.0
Woking Borough Council,24.78,29.105,1.6600000000000001,2856.36,0.0,2.22,0.0,0.0,0.0,0.0,0.0,13.0,28.034,2587.16,0.0,2.565,1.077,0.0,0.0
South Tyneside MBC,36.4,641.6,117.0,4042.4,843.7,181.50000000000003,2.2,7.2,0.0,30.0,4.0,0.0,29.8,2500.6,11.5,5.7,0.0,1343.4,0.0
Calderdale MBC,1248.48,1440.1200000000001,408.27,4220.5,965.05,216.39999999999998,9.26,4.18,0.0,132.16,4.81,60.96,76.78999999999999,0.0,0.0,231.85999999999999,0.0,1533.12,12.78
Ealing LB,1359.44,2510.5799999999995,480.30999999999995,3886.2000000000003,0.0,258.96,4.22,0.0,0.0,20.85,7.11,102.13,359.44,390.99,1.33,743.6,78.57,0.0,0.0
Southwark LB,0.0,115.61999999999999,78.54,3031.5,469.56,49.47999999999999,0.74,10.46,0.0,36.2,1.66,5.24,57.085,4681.88,0.0,0.0,0.0,599.98,2.077
Milton Keynes Council,1382.66,310.16,645.11,10219.679999999998,1881.79,327.31,21.53,26.28,0.0,104.41,18.509999999999998,79.44,123.16000000000001,4766.379999999999,0.0,38.16,0.0,1513.84,0.0
North East Derbyshire District Council,0.0,540.92,0.0,4081.58,0.0,7.92,0.0,0.0,0.0,0.0,0.0,0.92,0.0,1618.47,0.0,0.0,0.0,0.0,0.0
Hastings Borough Council,523.79,25.062,2.67,734.608,0.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,36.678,1305.87,0.0,0.0,0.0,0.0,0.0
Rochford District Council,35.14,26.856,0.0,4299.5,0.0,8.033000000000001,0.061,1.042,0.0,0.0,0.0,0.0,40.049,2368.38,7.889,0.0,0.0,0.0,0.0
Cheltenham Borough Council,776.79,1163.36,177.35,3183.04,408.26,147.99999999999997,2.6,0.0,0.0,0.0,2.05,95.49000000000001,91.39999999999999,0.0,73.46,86.07,3.04,0.0,0.0
New Forest District Council,1297.88,170.2,0.0,936.2,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,110.66,2520.67,0.0,0.0,0.0,0.0,0.0
St Albans City and District Council,936.96,1533.4099999999999,0.0,4930.66,0.0,6.114,0.0,0.0,0.0,0.0,0.0,0.0,14.82,464.23,0.0,0.0,2.89,0.0,0.0
North East Lincolnshire Council,795.29,1182.3000000000002,148.406,5099.16,688.54,228.17000000000002,3.74,0.0,0.0,30.18,2.5,0.0,40.809999999999995,321.94,0.0,26.78,0.03,164.7,0.0
Rossendale Borough Council,0.0,41.76,0.17,1016.94,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,50.4,1388.34,0.82,0.0,0.0,0.0,0.0
Newark and Sherwood District Council,404.72,3.8200000000000003,4.14,585.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.72,11.55,1965.7,0.0,0.0,1.15,0.0,0.0
East Staffordshire Borough Council,4.645,560.299,3.169,4811.160000000001,0.0,2.7,0.0,0.0,0.0,0.0,0.0,95.996,11.031,2280.9,12.666,0.361,0.0,0.0,0.0
Surrey County Council,106.0,1782.0,2318.0,14587.0,0.0,1909.0,69.0,34.0,0.0,308.0,51.0,104.0,673.0,0.0,0.0,1.0,117.0,7593.0,0.0
Manchester City Council MBC,27.18,3503.01,0.0,9001.5,0.0,67.34,0.0,0.0,0.0,0.0,0.0,0.0,73.04,3624.7799999999997,15.262,0.0,0.0,0.0,0.0
Barnsley MBC,1565.28,1994.2999999999997,528.6,7333.82,851.08,288.90000000000003,4.18,0.0,0.0,27.33,7.12,8.22,92.92,0.0,0.0,389.96000000000004,1.23,1056.22,0.0
Havering LB,414.06,219.91,206.24,4336.26,1078.95,203.04,5.95,7.68,0.0,0.0,6.609999999999999,644.94,37.04,3310.0,4.82,50.58,0.0,301.07,1.34
Wealden District Council,660.104,15.225000000000001,0.0,5073.219,0.0,4.702999999999999,0.0,0.0,0.0,0.0,0.0,0.14,35.738,3199.8940000000002,4.890000000000001,0.0,0.0,0.0,0.0
Uttlesford District Council,15.36,12.2,1.43,1572.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,21.478,2141.42,0.0,0.0,0.0,0.0,0.0
Stroud District Council,0.0,1194.38,15.16,35.52,0.0,42.459999999999994,0.0,0.0,0.0,0.0,0.0,30.43,75.55999999999999,1346.62,55.11,0.0,0.0,0.0,0.0
Test Valley Borough Council,553.6800000000001,1.73,0.374,1007.24,0.0,5.74,0.0,0.0,0.0,0.0,0.0,0.0,101.466,1892.55,0.0,0.0,2.21,0.0,0.0
Welwyn Hatfield Council,49.62,638.5300000000001,3.12,3933.26,0.0,5.108,0.0,0.0,0.0,0.0,0.0,0.0,15.2,1536.12,0.0,4.08,0.0,0.0,0.0
York City Council,1248.3100000000002,2111.96,487.38,7272.94,963.08,220.96000000000004,6.68,0.0,0.0,12.46,3.22,0.0,79.9,0.0,0.0,579.55,3.42,319.8,0.0
Cherwell District Council,715.9200000000001,0.74,2.39,6643.2,0.0,33.09,0.0,0.0,0.0,0.0,0.0,65.14999999999999,45.86,2661.5,0.0,4.3,0.0,0.0,0.0
Telford and Wrekin Council,28.14,1477.41,176.92000000000002,6489.92,892.16,275.8,3.3699999999999997,15.32,310.04,70.46,8.11,9.8,73.35000000000001,1670.63,19.25,11.11,0.7,473.62,22.5
South Staffordshire Council,69.03,37.16,0.0,5161.7,0.0,12.270000000000001,0.0,0.0,0.0,0.0,0.0,232.0,3.7,2827.68,0.0,0.0,0.0,0.0,0.0
Mole Valley District Council,0.0,33.88,0.0,2555.78,0.0,8.45,0.0,0.0,0.0,0.0,0.0,13.0,5.140000000000001,2326.24,0.0,0.0,0.0,0.0,0.0
Arun District Council,0.0,0.0,0.0,2460.18,0.0,9.56,0.0,0.0,0.0,0.0,0.0,0.0,37.29,3475.9,0.0,0.0,0.0,0.0,0.0
Stockport MBC,1.365,3570.335,0.0,12294.1,0.0,6.16,0.0,0.0,0.0,0.0,0.0,0.77,10.296,3153.68,3.282,0.0,0.0,0.0,0.0
Dudley MBC,1515.175,2942.5629999999996,159.477,12019.2,1002.64,207.34699999999998,8.9,11.4,0.0,65.12,7.368,15.013,47.752,753.5300000000001,0.0,2.28,35.838,979.22,0.0
Lewisham LB,2.82,27.580000000000002,20.05,460.76,173.91,84.994,2.04,0.0,11.96,0.0,0.5,300.0,33.7,4870.53,0.0,2.28,143.56,157.08,0.0
North Somerset Council,1549.0299999999997,3307.98,607.42,8862.56,1785.82,388.68,9.8,0.99,0.0,57.54,8.1,27.990000000000002,101.53,0.0,0.0,596.4200000000001,0.08,1091.1,88.99
Fenland District Council,56.869,13.99,0.0,4280.64,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,29.805,2167.98,0.0,0.0,0.0,0.0,0.0
Halton Borough Council,9.35,121.47,157.66,3415.6,739.88,164.12,5.69,10.96,0.0,47.68,1.92,119.88000000000001,153.42000000000002,2102.14,0.0,90.13,61.31,724.76,1.48
Derbyshire County Council,58.67999999999999,668.1800000000001,948.58,4400.88,3465.62,901.3499999999999,34.54,69.18,0.0,253.02,27.0,235.42,200.18,0.0,0.0,377.83,1.2,2396.96,0.0
Southend-on-Sea Borough Council,12.0,114.0,164.0,5029.0,1065.0,176.0,0.0,0.0,0.0,232.0,0.0,180.0,26.0,3843.0,0.0,94.0,0.0,784.0,35.0
Worcester City Council,32.47,37.71,10.45,650.32,0.0,1.52,0.0,0.0,0.0,0.0,0.0,48.71,51.96,2669.6,6.19,0.0,0.0,0.0,0.0
Chorley Borough Council,49.09,919.85,0.0,4002.96,0.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,35.71,1544.2,17.93,1.75,0.85,0.0,0.0
East Lindsey District Council,553.5999999999999,50.272000000000006,0.071,5292.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.6,75.437,2619.48,27.495,0.0,0.0,0.0,0.0
West Oxfordshire District Council,668.0600000000001,1082.627,75.94,4944.32,0.0,5.44,0.0,0.0,0.0,0.0,0.0,259.69,61.326,744.3199999999999,0.0,278.78999999999996,0.0,0.0,0.0
Taunton Deane Borough Council,716.236,1076.245,114.94600000000001,2382.5699999999997,0.0,0.0,1.379,0.0,0.0,0.0,0.0,33.675,41.133,0.0,14.629,155.28799999999998,0.0,0.0,0.0
Surrey Heath Borough Council,44.99,66.82,9.16,1802.96,0.0,6.779999999999999,0.72,1.18,0.0,0.0,0.0,0.0,41.13,2716.18,0.0,2.8099999999999996,0.0,0.0,0.0
Mid Sussex District Council,0.0,15.79,0.0,2045.53,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3384.25,0.0,0.0,0.0,0.0,0.0
Wolverhampton MBC,0.0,130.59,140.15,9682.06,1157.8,142.92000000000002,0.92,20.6,0.0,137.26,5.6,0.0,30.23,4951.53,0.0,55.69,0.0,1104.6,0.0
Bexley LB,1038.0,2783.0,246.0,7646.0,1333.0,216.0,6.0,13.0,0.0,17.0,8.0,306.0,309.0,1412.0,0.0,79.0,89.0,1469.0,0.0
Reading Borough Council,651.38,100.5,194.82,2744.2599999999998,706.29,177.87999999999997,7.61,4.59,285.45,59.51,4.53,3.07,100.09,2464.95,0.0,12.63,0.8,652.84,31.46
Carlisle City Council,670.9399999999999,1129.5,167.83999999999997,3730.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.749,0.0,0.0,0.0,277.74,0.0,0.0,0.0
Derby City Council,8.05,171.76,205.57999999999998,3346.35,1079.1,314.17999999999995,9.39,7.43,7.18,66.24,11.53,31.42,39.2,4957.589999999999,0.0,115.86999999999999,0.13,113.52000000000001,2.36
East Sussex County Council,188.42,615.66,975.447,4659.257,1344.55,1075.22,40.964999999999996,26.459,1013.26,138.36,19.35,128.171,59.44,0.0,0.0,13.9,0.0,2073.1,4.6
Worcestershire County Council,61.46,687.65,1153.287,7525.84,3216.946,496.65999999999997,37.06,0.0,0.0,307.32,16.539,0.0,118.44,6.18,6.11,0.0,0.117,5485.72,0.0
East Riding of Yorkshire Council,143.33,491.337,573.13,18083.44,2178.95,635.0400000000001,25.61,46.68,307.44,154.46,8.819999999999999,1.17,185.58399999999997,8296.62,0.0,15.02,1.46,3141.55,0.0
Ashford Borough Council,54.709999999999994,78.6,1.26,2790.3,0.0,12.309999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2975.84,0.0,0.0,0.0,0.0,0.0
Pendle Borough Council,24.97,748.0,0.15,1567.66,0.0,33.9,0.0,0.32,0.0,0.0,0.0,0.0,42.25,967.62,51.06,0.0,6.02,0.0,0.0
South Kesteven District Council,0.0,9.932,0.071,3890.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.01,25.263,4257.14,0.0,0.0,5.08,0.0,0.0
Richmondshire District Council,323.86,456.49,78.995,1137.63,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,34.504,0.0,0.0,89.135,1.722,0.0,0.0
Harrogate Borough Council,287.04,51.122,2.87,4490.07,0.0,4.526,0.0,0.0,0.0,0.0,0.0,0.0,34.251999999999995,2671.0,4.909,2.12,2.131,0.0,0.0
St Edmundsbury Borough Council,496.9,155.28100000000003,3.1,4442.4,0.0,28.124000000000002,3.334,0.0,0.0,0.0,0.0,312.123,28.884,1948.75,0.0,9.38,0.728,0.0,0.0
Rugby Borough Council,0.0,0.0,0.0,4237.9800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.66,14.149999999999999,2742.41,0.0,0.0,0.0,0.0,0.0
Greater Manchester WDA (MBC),0.0,1660.6,2693.23,6855.88,11258.25,2611.22,68.54,133.32,0.0,553.3,48.120000000000005,0.0,576.91,345.1,27.69,216.95,0.0,14930.62,0.0
Greenwich LB,0.0,51.510000000000005,88.45,5343.65,613.0799999999999,200.11,1.24,10.36,0.0,40.5,2.34,368.22,45.47,5105.02,8.029,0.0,0.0,1570.6,0.0
Tower Hamlets LB,0.0,14.14,2.38,318.56,195.48,48.36,0.7,0.0,0.0,0.0,1.24,0.0,92.70000000000002,3034.64,0.0,2.82,0.0,0.0,1.0
Bath and North East Somerset Council,1253.6699999999998,2286.288,491.592,5139.347,1159.1,327.35999999999996,13.110000000000001,12.793,0.0,86.04,8.733,17.96,77.81899999999999,0.0,1.88,283.507,0.0,1764.1200000000001,0.0
South Derbyshire District Council,39.14,815.99,2.91,4441.12,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.64,36.1,1039.5,7.06,8.6,0.91,0.0,0.0
Cotswold District Council,716.76,997.7,150.53,4481.46,0.0,10.540000000000001,0.0,0.0,0.0,0.0,0.0,25.14,47.4,0.0,31.39,146.55,2.42,0.0,0.0
South Ribble Borough Council,0.76,1002.6899999999999,2.12,4227.82,1.34,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,23.27,42.81,1533.95,27.48,0.0,0.0,0.0,0.0
Harborough District Council,0.0,520.915,0.0,4110.573,0.0,2.126,0.0,0.0,0.0,0.0,0.0,85.50699999999999,40.409000000000006,1653.6,1.736,0.0,0.0,0.0,0.0
Breckland Council,447.952,17.17,0.0,2713.08,0.0,8.280000000000001,0.0,2.72,0.0,0.04,0.0,0.216,12.652,2063.36,0.0,0.0,0.5,0.0,0.0
Oldham MBC,0.0,1904.14,0.0,4776.5199999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2111.1800000000003,0.0,0.0,0.0,0.0,0.0
Doncaster MBC,52.04,402.44999999999993,407.062,12253.740000000002,1269.48,453.051,9.725,32.32,0.0,95.35,9.715,2.52,115.92699999999999,4665.93,19.379,138.29999999999998,0.619,2569.94,0.0
Hounslow LB,857.4,1825.09,546.98,3989.0599999999995,0.0,133.86,9.13,0.0,0.0,13.8,8.36,414.24,203.75,36.36,41.5,544.16,102.71000000000001,193.48,0.0
Cambridgeshire County Council,96.004,665.2,1018.071,3339.2,3306.16,1003.1709999999998,48.94,0.0,1910.1,216.38,33.515,0.0,127.09,0.0,148.225,281.859,0.0,3708.2,11.337
North Devon District Council,668.605,996.0740000000001,113.249,3416.085,0.0,10.873999999999999,0.0,0.0,0.0,0.0,0.0,0.0,50.286,0.0,40.493,132.155,0.145,0.0,0.0
Tewkesbury Borough Council,0.0,0.64,0.0,2721.2,0.0,7.78,0.0,0.0,0.0,0.0,0.0,26.429,50.078,2224.04,41.81,0.0,0.0,0.0,0.0
Sevenoaks District Council,577.67,155.95999999999998,0.0,1666.36,0.0,8.73,0.0,0.0,0.0,0.0,0.0,0.0,50.144,1774.02,0.0,0.0,0.0,0.0,0.0
North West Leicestershire District Council,562.385,947.533,0.532,4238.58,0.0,7.856,0.0,0.0,0.0,0.0,0.0,144.142,19.547000000000004,339.78,16.899,0.784,0.039,0.0,0.0
Norwich City Council,802.92,0.0,1.22,1584.88,0.0,12.239999999999998,0.0,2.64,0.0,0.0,0.0,0.0,0.0,1885.14,0.0,0.0,1.43,0.0,0.0
East Northamptonshire Council,0.0,0.0,0.0,1111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,2203.13,0.0,0.0,0.0,0.0,0.0
Oxford City Council,32.46,24.450000000000003,15.01,2269.24,0.0,16.38,1.2,0.0,0.0,0.0,0.0,103.49,68.02,3914.1400000000003,0.0,7.58,0.0,0.0,0.0
Somerset County Council,279.75,1027.49,1359.1299999999999,9230.36,1853.098,1058.3,43.922,0.0,0.0,200.84,12.5,136.81,191.3,0.0,0.0,25.71,7.962,0.0,0.0
Tameside MBC,0.0,1896.1399999999999,0.0,4869.93,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,3.486,2318.4,0.0,0.0,0.0,0.0,0.0
Sandwell MBC,37.160000000000004,194.44,216.41,8319.42,1226.5,167.85999999999999,12.24,10.88,540.64,69.12,5.680000000000001,14.94,107.72999999999999,6408.8,0.0,11.5,66.14,784.96,0.0
Bromley LB,114.35,2852.22,286.4,7834.799999999999,1088.7,278.61,0.0,0.0,0.0,19.2,4.7,0.0,73.74000000000001,2850.15,160.54,0.0,60.82,0.0,0.0
Newham LB,7.75,122.88,261.41,384.82000000000005,774.84,152.01999999999998,3.22,60.68,0.0,0.0,3.86,766.86,25.44,3056.52,0.21,45.3,0.0,253.41,2.85
Huntingdonshire District Council,0.0,2.01,0.0,7711.44,0.0,0.48,0.0,0.0,0.0,0.0,0.0,3.25,63.36,4487.89,0.0,0.56,0.0,0.0,0.0
Hartlepool Borough Council,540.44,52.0,86.4,2779.79,399.05,99.37,0.0,19.81,0.0,0.0,0.0,41.42,23.64,1800.47,0.0,45.13,22.74,749.4100000000001,0.0
Stockton-on-Tees Borough Council,103.62,1275.6600000000003,251.33999999999997,3557.11,641.72,153.95,2.69,9.07,0.0,0.0,2.77,0.0,32.150000000000006,0.0,0.0,244.76000000000002,31.88,3603.2400000000002,0.0
Cumbria County Council,10.41,457.95,772.36,1496.38,2123.66,815.25,24.18,47.09,0.0,280.66,18.5,0.0,71.57,0.0,0.0,59.11,0.0,4565.42,35.11
Mid Devon District Council,475.32,440.068,92.645,2995.7180000000003,0.0,4.37,2.33,0.0,0.0,0.0,0.0,0.0,31.891000000000002,30.380000000000003,0.0,35.626999999999995,0.0,0.0,0.0
Brentwood Borough Council,505.73,0.0,2.205,1763.56,0.0,7.734,0.0,0.0,0.0,0.0,0.0,266.018,16.706,1592.1299999999999,30.933,0.0,0.0,0.0,0.0
Basingstoke and Deane Borough Council,1048.2,65.22,0.8999999999999999,658.84,0.0,47.424,0.0,0.0,0.0,0.0,0.0,2.141,109.89,2226.19,66.617,0.96,0.0,0.0,0.0
Wychavon District Council,56.61,36.72,2.02,1828.6,0.0,5.66,0.0,0.0,0.0,0.0,0.0,3.19,40.72,3366.82,0.0,0.0,0.0,0.0,0.0
Tonbridge and Malling Borough Council,595.48,777.5600000000001,81.99,5078.56,0.0,69.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,40.46,0.0,0.0,71.62,0.0,0.0,0.0
Wellingborough Borough Council,32.302,12.08,0.0,2363.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.537,1678.27,0.0,0.0,0.0,0.0,0.0
West Somerset District Council,252.86100000000002,460.725,46.062,564.9300000000001,0.0,0.0,0.68,0.0,0.0,0.0,0.0,4.9319999999999995,4.703,0.0,6.294,42.763,0.0,0.0,0.0
Forest Heath District Council,235.227,88.314,0.555,2072.26,0.0,1.321,0.0,0.0,0.0,0.0,0.0,334.516,22.802,1026.85,0.0,3.63,0.385,0.0,0.0
Warwickshire County Council,60.41,797.8400000000001,762.44,2349.16,2671.3900000000003,629.66,31.14,6.71,0.0,152.23,25.61,0.0,354.37,0.0,6.79,67.19,74.44,0.0,0.0
St Helens MBC,1102.1,1517.9,159.0,5358.200000000001,0.0,26.0,0.0,7.9,0.0,0.0,0.0,224.89999999999998,13.399999999999999,0.0,0.0,153.5,0.0,930.1,0.0
Gateshead MBC,60.31,1030.66,136.97,4944.28,546.69,183.67999999999998,5.46,16.24,11.72,55.04,1.53,0.0,34.923,3055.86,0.0,35.4,0.0,408.73,0.0
Hammersmith and Fulham LB,0.0,0.0,2.94,0.0,0.0,46.209999999999994,0.36,0.0,0.0,0.0,0.0,57.01,51.51,2999.66,0.0,1.92,0.0,0.0,0.0
Wandsworth LB,4.86,27.529999999999998,0.91,64.48,0.0,26.44,0.0,0.04,0.0,0.0,0.0,255.24,68.45,5000.46,0.0,0.0,0.0,0.0,0.0
Slough Borough Council,0.0,23.02,133.16,2105.71,288.42,50.91,3.26,6.18,11.74,27.36,3.38,0.18,87.53,2251.5,0.0,8.4,58.08,89.0,13.59
Aylesbury Vale District Council,0.0,0.0,0.0,3568.73,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,45.22,4449.32,0.0,0.0,0.0,0.0,0.0
Peterborough City Council,61.08,105.72999999999999,140.53,6258.299999999999,741.28,4.630000000000001,7.720000000000001,0.0,362.18,51.68,10.120000000000001,90.03999999999999,50.61,4011.14,0.0,0.0,0.0,279.16,0.0
Copeland Borough Council,374.5,516.52,63.46,2247.4199999999996,0.0,5.9350000000000005,0.0,0.0,0.0,0.0,0.0,61.242,10.14,0.0,0.0,65.54,0.0,0.0,0.0
Devon County Council,162.085,1233.855,1585.09,9655.1,5358.38,1925.657,53.758,18.039,0.0,184.92,32.785,482.118,775.896,0.0,0.0,284.992,234.0,1716.255,0.0
Epping Forest Borough Council,866.9879999999999,24.728,1.9,5432.16,0.0,9.666,0.0,0.0,0.0,0.0,0.0,303.438,12.22,2506.086,12.57,0.0,0.792,0.0,0.0
Gosport Borough Council,260.0,41.36,0.0,117.18,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,52.6,1118.02,0.0,0.0,0.0,0.0,0.0
Malvern Hills District Council,124.4,10.69,2.02,603.2,0.0,2.84,0.0,0.0,0.0,0.0,0.0,119.83,15.29,1712.5,0.0,0.0,0.0,0.0,0.0
East Hertfordshire District Council,0.0,922.14,0.0,4960.1,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,14.780000000000001,2214.88,0.0,0.0,0.0,0.0,0.0
Canterbury City Council,99.14999999999999,1262.6100000000001,0.0,5064.0199999999995,0.0,7.01,0.0,0.0,0.0,0.0,0.0,0.0,25.994999999999997,1768.8799999999999,0.0,0.0,0.0,0.0,0.0
Blackpool Borough Council,96.30000000000001,1243.3500000000001,128.43,3089.78,559.5,202.349,4.76,0.0,139.46,20.26,2.69,11.5,49.95,1521.32,57.2,32.6,12.325999999999999,153.58,6.48
Leicestershire County Council,110.66,916.96,1229.168,6234.0199999999995,0.0,1091.273,33.76,0.0,0.0,309.38,37.113,16.904,223.438,0.0,22.601,151.23000000000002,0.0,0.0,0.0
Blaby District Council,56.071,90.878,6.718000000000001,2857.0739999999996,0.0,5.025,0.81,0.0,0.0,0.0,0.0,212.446,94.095,2147.91,10.843,8.642,0.0,0.0,0.838
Broxtowe Borough Council,456.90999999999997,8.469999999999999,3.64,1943.98,0.0,5.27,0.0,0.0,0.0,0.0,0.0,371.65,14.44,1814.46,0.0,0.0,0.83,0.0,0.0
Suffolk Coastal District Council,872.24,4.42,143.84,5102.1,27.38,0.56,5.95,0.88,0.0,8.0,0.0,490.21,37.86,2387.44,0.0,0.0,1.04,0.0,0.0
Stratford-on-Avon District Council,1.81,2.07,0.0,6681.47,0.0,8.61,0.991,0.0,0.0,0.0,0.0,318.04,5.097,3505.2780000000002,0.0,0.0,0.0,0.0,0.0
Sunderland City Council,0.0,144.81,110.48,6426.25,744.4399999999999,50.01,0.21,4.81,0.0,46.2,2.4,75.46000000000001,36.82,4693.719999999999,79.0,61.66,0.0,1564.44,0.0
Kirklees MBC,1426.0,320.0,319.0,5505.0,1429.0,338.0,13.0,35.0,0.0,192.0,9.0,30.0,58.0,5815.0,0.0,12.0,1.0,3339.0,17.0
Wycombe District Council,0.0,1850.24,0.0,6472.1,0.0,0.0,0.0,1.12,0.0,0.0,0.0,266.57,42.45,2025.6999999999998,0.0,0.0,0.0,0.0,0.0
Portsmouth City Council,534.36,176.89,273.73,1855.36,0.0,148.45999999999998,8.18,0.0,0.0,48.3,3.93,168.19,96.22,2150.88,0.0,0.0,0.0,1232.47,0.0
Stevenage Borough Council,490.2,903.4399999999999,0.0,2252.24,0.0,5.557,0.0,0.0,0.0,0.0,0.0,0.0,14.394,192.46,0.0,0.0,0.0,0.0,0.0
Gravesham Borough Council,223.702,18.43,2.442,657.88,0.0,12.83,0.0,0.0,0.0,0.0,0.0,0.0,16.655,1329.76,0.0,0.0,0.0,0.0,0.0
Hinckley and Bosworth Borough Council,38.6,1084.4479999999999,3.195,4772.473,0.0,8.952,0.0,0.0,0.0,0.0,0.0,194.722,53.784,1340.61,25.169,0.0,0.0,0.0,0.0
Broadland District Council,619.903,109.943,0.271,3826.15,0.0,9.94,0.0,0.0,0.0,0.0,0.0,0.06,41.480000000000004,2081.3999999999996,0.0,3.774,1.034,0.0,0.0
Northamptonshire County Council,74.32,794.5999999999999,963.6200000000001,4511.99,0.0,936.1099999999999,41.01,11.62,0.0,236.86,39.54,372.85999999999996,140.55,0.0,0.0,295.26,0.07,4357.08,129.08
Lichfield District Council,2.692,3.93,0.0,4942.09,0.0,2.25,0.0,0.0,0.0,0.0,0.0,202.55999999999997,12.99,3033.7,0.0,0.0,0.0,0.0,0.0
Elmbridge Borough Council,0.0,4.96,0.0,3599.66,0.0,6.082,0.0,0.0,0.0,0.0,0.0,28.0,18.060000000000002,3644.2,0.0,0.0,0.51,0.0,0.0
City of London,0.0,0.0,0.0,20.9,0.0,2.8899999999999997,0.43,0.0,0.0,0.0,0.0,69.92,2.26,258.61,0.0,0.0,0.0,0.0,0.0
Royal Borough of Kensington and Chelsea,0.0,0.0,0.26,152.72,0.0,11.219999999999999,0.0,0.0,0.0,0.0,0.0,64.75,23.54,4326.17,0.0,0.0,0.0,0.0,0.0
Darlington Borough Council,384.12,779.84,92.29,1316.44,411.68,108.78200000000001,0.0,0.0,0.0,1.68,0.0,0.0,27.227,0.0,17.48,29.815,0.93,570.76,0.0
Winchester City Council,410.77000000000004,6.37,0.0,1665.28,0.0,4.24,0.0,0.0,0.0,0.0,0.0,0.0,54.1,1925.42,0.0,0.0,0.0,0.0,0.0
