,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
West Lancashire Borough Council,13.95,1025.951,3.35,4096.08,0.0,10.666,0.0,0.0,0.0,0.0,0.0,0.962,40.07,1195.38,6.912,0.0,7.156,0.0,0.0
North Yorkshire County Council,213.87,1206.3439999999998,1164.9389999999999,4762.46,3119.58,855.842,25.286,47.174,21.56,318.36,28.410000000000004,73.91300000000001,173.288,0.0,0.0,89.087,4.295,1214.902,0.0
Rushcliffe Borough Council,485.6,20.342000000000002,0.28,4343.92,0.0,6.96,3.66,0.0,0.0,0.0,0.0,167.39,13.263,1876.02,0.0,0.0,3.229,0.0,0.0
Newcastle-under-Lyme Borough Council,690.545,1032.907,156.67899999999997,4895.21,0.0,0.0,0.0,2.2,0.0,0.0,0.0,848.82,26.314,0.0,30.0,202.036,0.0,0.0,0.0
Epsom and Ewell Borough Council,505.97999999999996,493.27,92.47,2009.8200000000002,0.0,4.06,0.0,0.0,0.0,0.0,0.0,11.0,8.16,660.84,4.56,1.93,0.0,0.0,0.0
West Sussex County Council,0.0,1167.24,1991.06,12449.9,897.55,2163.18,89.08,104.53,0.0,287.1,38.14,74.91,330.43,107.34,31.32,0.0,0.0,8901.08,0.0
Rochdale MBC,0.0,1650.6,0.0,3600.94,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,28.489,1998.552,0.0,0.0,0.0,0.0,0.0
Rotherham MBC,141.68,1936.5230000000001,338.49500000000006,9486.091999999999,972.18,324.86899999999997,8.338,0.0,0.0,66.69,5.503,17.87,323.21,1563.2,0.0,166.38,117.22399999999999,1552.6,0.0
Birmingham City Council,547.46,6942.13,530.03,13260.900000000001,4016.7299999999996,662.3100000000001,26.04,0.0,0.0,0.0,22.14,16.1,287.77,4231.62,0.0,26.94,1.67,4940.07,0.0
Sutton LB,4.72,121.72,138.99,3308.5,829.44,185.51999999999998,4.51,6.66,0.0,32.04,3.75,0.0,43.06,4005.94,2.06,62.72,0.0,998.86,0.0
Cambridge City Council,31.37,164.70499999999998,3.793,3008.98,0.0,1.555,1.049,0.0,0.0,0.0,0.0,11.12,65.2,2639.1000000000004,0.0,15.76,0.0,0.0,0.0
Redditch Borough Council,15.18,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,2.15,35.56,1888.93,21.66,0.0,0.0,0.0,0.0
Lancashire County Council,151.22,1675.1599999999999,2025.35,4201.86,6870.94,1325.97,63.010000000000005,29.48,0.0,707.9,42.980000000000004,0.0,288.64,0.0,232.94,839.08,129.31,0.0,1.49
Lincolnshire County Council,88.754,474.152,771.646,6631.8,2913.36,1010.023,29.128999999999998,0.0,308.2,212.42,16.334,32.82,94.005,0.0,22.03,243.28,33.674,2298.36,0.0
Nottingham City Council,8.42,83.46,107.43,6269.48,536.84,63.230000000000004,2.67,0.0,61.54,38.88,3.4,96.04,30.54,5002.72,0.0,83.98,0.65,2226.54,0.0
South Oxfordshire District Council,9.68,9.693,0.0,5219.28,0.0,3.577,0.738,0.0,0.0,0.0,0.0,243.07,73.02300000000001,4634.76,0.0,0.729,0.0,0.0,0.0
Mendip District Council,775.789,1163.267,111.57399999999998,1908.9099999999999,0.0,0.0,1.533,0.0,0.0,0.0,0.0,28.646,58.893,0.0,5.244,129.256,0.0,0.0,0.0
Stoke-on-Trent City Council,14.549999999999999,728.8100000000001,210.57,7059.179999999999,1090.69,287.99,8.17,0.0,0.0,57.86,3.58,7.56,48.72,3456.46,0.34,0.12,1.0,1055.1,0.0
Runnymede Borough Council,24.72,15.03,0.0,1279.95,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,13.03,1654.36,0.0,0.0,0.0,0.0,0.0
Crawley Borough Council,0.0,0.0,0.0,639.58,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,33.5,1799.73,0.0,0.0,0.0,0.0,0.0
Trafford MBC,0.0,2828.3199999999997,0.0,10047.300000000001,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,25.67,2609.8,0.0,0.0,0.0,0.0,0.0
Solihull MBC,1031.523,2255.76,153.48999999999998,8848.1,689.62,170.45099999999996,2.58,0.0,0.0,19.46,5.796,18.907,52.365,647.28,0.0,14.717,0.0,1192.9,30.79
Enfield LB,15.42,154.58,123.28,7095.780000000001,191.18,155.21400000000006,1.32,4.72,0.0,13.39,4.54,45.03,91.61200000000001,6425.9,17.284,40.7,0.0,496.75,0.0
Bracknell Forest Borough Council,552.76,121.47,198.55,3044.38,0.0,204.57999999999998,10.97,4.49,185.38,34.53,4.75,67.84,95.97,1799.66,0.0,9.79,0.67,654.73,30.77
Allerdale Borough Council,253.56,1202.7400000000002,12.04,2960.7,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.1,0.0,6.54,0.0,0.0,0.0
Bolsover District Council,16.744,343.52500000000003,1.361,3051.76,0.0,7.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.46,9.758999999999999,1283.59,0.0,0.0,0.0,0.0,0.0
Wyre Forest District Council,30.49,4.68,0.79,573.64,0.0,3.75,0.0,0.0,0.0,0.0,0.0,69.48,17.09,2356.02,0.0,0.0,0.0,0.0,0.0
Hyndburn Borough Council,449.60999999999996,724.8000000000001,17.07,970.32,38.3,5.67,0.61,0.0,0.0,0.0,0.0,0.0,18.97,278.42,2.24,7.27,0.0,0.0,0.0
North Kesteven District Council,31.75,0.0,0.0,4256.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.13,3.488,2714.4,0.0,0.0,6.0,0.0,0.0
Hambleton District Council,593.75,694.25,104.37,4036.93,0.0,1.5,0.0,0.778,0.0,0.0,0.0,0.0,19.799,0.0,0.0,105.48,2.004,0.0,0.0
South Somerset District Council,1142.478,1757.03,166.77100000000002,2877.7200000000003,0.0,0.0,2.25,0.0,0.0,0.0,0.0,45.379,79.46600000000001,0.0,24.975,201.217,0.0,0.0,0.0
Ipswich Borough Council,497.09000000000003,174.31,13.54,3659.1000000000004,24.42,39.39,0.0,0.0,0.0,3.74,0.0,220.58,20.28,1985.59,72.06,0.0,0.74,3.96,0.0
Waverley Borough Council,0.0,46.5,0.0,1872.62,0.0,5.04,0.0,0.0,0.0,0.0,0.0,28.0,22.169999999999998,3424.36,0.0,0.0,0.0,0.0,0.0
North Warwickshire Borough Council,463.82,711.4699999999999,147.16,2848.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillingdon LB,120.0,244.0,131.0,6694.0,0.0,145.0,0.0,0.0,0.0,40.0,5.0,0.0,141.0,4903.0,0.0,13.0,103.0,286.0,0.0
Windsor and Maidenhead Borough Council,0.0,75.0,181.0,3748.0,571.0,174.0,10.0,0.0,174.0,24.0,2.5,5.0,24.6,4018.0,0.0,0.0,0.0,423.0,0.0
Eden District Council,0.0,589.5,0.0,1707.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.656,20.18,542.04,0.0,33.45,0.0,0.0,0.0
High Peak Borough Council,628.6,0.0,0.0,2664.64,0.0,3.4400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,10.73,1470.44,29.45,0.0,1.72,0.0,0.0
Poole Borough Council,0.0,149.20000000000002,267.74,3966.26,1040.36,304.94,11.28,10.1,0.0,90.4,5.4,15.38,53.576,3407.1499999999996,25.11,0.0,0.0,826.8,0.0
Eastbourne Borough Council,358.08,1.35,0.0,2142.679,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,23.28,1664.07,0.0,0.0,0.0,0.0,0.0
Gloucestershire County Council,96.72999999999999,666.5899999999999,898.0699999999999,3944.56,2615.9,707.0900000000001,31.41,0.0,1095.64,278.58,26.9,36.57,114.41,0.0,0.0,35.214999999999996,0.18,0.0,0.0
Dartford Borough Council,443.51,13.46,3.65,502.64,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,14.48,1556.98,0.0,0.0,0.0,0.0,0.0
Ribble Valley Borough Council,9.06,529.52,3.12,1392.03,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,21.266000000000002,586.84,0.03,0.0,0.0,0.0,0.0
Scarborough Borough Council,395.3,0.0,0.0,2875.7,0.0,8.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955.98,0.0,1.61,0.0,0.0,0.0
Waveney District Council,542.269,0.0,0.0,4855.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.02,7.05,2394.5,0.0,0.0,0.0,0.0,0.0
Warwick District Council,715.56,1191.76,101.67,5261.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.4,30.455,266.23,0.0,211.2,0.0,0.0,0.0
