ONS Code,Name,Total Local Authority Collected Waste,Household – Total Waste,Household - waste sent for recycling/composting/reuse (tonnes),Household dry recycling/reuse (tonnes),Household green recycling/reuse (tonnes),Household - Waste not Sent for Recycling,Household - regular collection (not recycled) (tonnes),Household - civic amenity sites (not recycled) (tonnes),Household - other sources (not recycled) (tonnes),Household - estimated rejects (tonnes),Non-household – Total Waste,Non-household - waste sent for recycling/composting/reuse (tonnes),Non-household – Waste not Sent for Recycling ,Non-household - estimated rejects (tonnes),Local Authority Collected Waste - Sent for Recycling/Composting/Reuse,Local Authority Collected Waste - Not Sent for Recycling,Local authority collected - estimated rejects (tonnes)
E06000013,North Lincolnshire Council,93935,85092,41150,22456,18693,43942,33395,7156,2951,441,8843,4836,4007,0,45986,47949,441
E06000014,York City Council,99772,87561,37516,21727,15789,50045,40359,4990,4439,258,12211,3112,9099,0,40628,59143,258
E06000015,Derby City Council,117005,102046,32962,23612,9351,69084,56526,5327,3525,3706,14959,2251,12707,0,35214,81791,3706
E06000016,Leicester City Council,128535,118796,49370,24944,24426,69426,58135,4401,5859,1031,9739,6999,2740,0,56368,72167,1031
E06000017,Rutland County Council,20714,19574,11376,5744,5632,8198,6684,835,380,299,1140,1241,-101,0,12617,8098,299
E06000018,Nottingham City Council,162700,111933,34276,21185,13091,77657,63948,491,8996,4222,50766,16073,34693,0,50349,112351,4222
E06000019,Herefordshire Council,88004,77725,31129,23343,7786,46597,34479,8221,804,3092,10278,6321,3957,0,37450,50554,3092
E06000020,Telford and Wrekin Council,87096,80777,38742,22224,16518,42035,32349,6054,3208,424,6318,2483,3835,0,41225,45871,424
E06000021,Stoke-on-Trent City Council,126527,110132,39792,21754,18038,70341,57100,8911,4083,247,16395,3291,13104,0,43082,83445,247
E06000022,Bath and North East Somerset Council,88637,75751,39861,22654,17207,35890,24206,5872,5702,110,12886,9852,3034,0,49713,38924,110
E06000023,Bristol City Council,181101,169849,74086,45148,28937,95763,75930,12857,7257,-281,11252,8759,2493,0,82845,98256,-281
E06000024,North Somerset Council,106872,102671,60189,32819,27370,42482,25615,13738,2930,199,4201,3679,522,0,63868,43004,199
E06000025,South Gloucestershire Council,125468,120590,57534,28702,28832,63056,40717,10498,3714,8127,4879,4736,142,0,62270,63198,8127
E06000026,Plymouth City Council,128171,107469,35430,26311,9119,72039,59051,7578,3554,1856,20701,10132,10569,0,45562,82608,1856
E06000027,Torbay Council,67552,59444,25328,16264,9064,34116,27014,3474,3623,5,8108,2624,5484,0,27952,39600,5
E06000028,Bournemouth Borough Council,98795,88676,43654,21391,22263,45022,34850,4641,4655,876,10119,5511,4609,0,49165,49630,876
E06000029,Poole Borough Council,79820,68662,32311,19742,12570,36350,29680,2974,3480,217,11158,4093,7065,0,36404,43415,217
E06000030,Swindon Borough Council,104250,92462,34271,25123,9148,58191,52327,5679,185,0,11788,7375,4413,0,41646,62604,0
E06000031,Peterborough City Council,86646,82150,36127,22894,13234,46023,37542,4188,2907,1386,4496,679,3818,0,36806,49840,1386
E06000032,Luton Borough Council,94266,81905,27223,18897,8326,54682,49018,3179,1941,544,12360,3890,8471,0,31113,63153,544
E06000033,Southend-on-Sea Borough Council,77511,74757,34135,19990,14146,40622,33431,4457,1196,1538,2754,2320,434,0,36455,41056,1538
E06000034,Thurrock Council,78695,75460,28595,16296,12298,46866,38290,4251,3293,1032,3235,2733,502,0,31327,47368,1032
E06000035,Medway Borough Council,131297,123833,52836,30303,22533,70996,54963,8004,4689,3340,7464,7258,207,0,60094,71203,3340
E06000036,Bracknell Forest Borough Council,54099,51418,19548,11727,7822,31870,21676,6238,2440,1516,2681,2218,463,0,21766,32333,1516
E06000037,West Berkshire District Council,86399,82346,42667,22004,20663,39680,26620,7631,4140,1288,4052,3674,378,0,46341,40058,1288
E06000038,Reading Borough Council,73862,65273,20927,13883,7043,44347,32311,7499,2430,2108,8588,2751,5837,0,23678,50184,2108
E06000039,Slough Borough Council,59321,53781,14418,9951,4467,39363,30181,7199,1579,404,5539,732,4808,0,15150,44171,404
E06000040,Windsor and Maidenhead Borough Council,69351,67058,31305,19600,11705,35753,27083,4610,2888,1172,2293,1747,546,0,33053,36299,1172
E06000041,Wokingham Council,79244,74533,28339,17340,10999,46195,27739,13789,2656,2011,4710,4527,183,0,32866,46378,2011
E06000042,Milton Keynes Council,133940,124438,60930,32987,27943,63508,42331,11990,4669,4519,9502,7895,1607,0,68825,65115,4519
E06000043,Brighton and Hove Council,108683,105223,25835,22258,3577,79388,64964,6716,5507,2201,3460,2248,1212,0,28082,80601,2201
E06000044,Portsmouth City Council,82633,79507,18630,14135,4495,60877,47970,7785,3814,1307,3127,2424,703,0,21054,61579,1307
E06000045,Southampton City Council,112485,98157,26655,18896,7759,71501,55269,9400,4127,2705,14328,3223,11106,0,29878,82607,2705
E06000046,Isle of Wight Council,73226,69171,31284,15984,15301,37887,18791,11936,3817,3343,4054,3675,380,0,34959,38267,3343
E06000047,County Durham,247481,225715,88358,62271,26086,137357,107249,8345,14956,6808,21766,13332,8434,0,101689,145791,6808
E06000049,Cheshire East,197198,183337,101457,56226,45231,81881,62063,10359,7895,1564,13861,10982,2879,0,112439,84759,1564
E06000050,Cheshire West and Chester,172638,161609,93204,48046,45158,68406,49971,11982,6442,10,11029,10699,330,0,103903,68736,10
E06000051,Shropshire,161677,153990,84039,43289,40750,69951,49269,12751,7738,194,7688,2851,4836,0,86890,74787,194
E06000052,Cornwall,263288,259645,87310,57731,29579,172335,137089,25869,6540,2836,3643,2716,927,0,90026,173263,2836
E06000053,Council of the Isles of Scilly,1998,1353,282,273,9,1070,766,28,275,1,646,370,275,0,653,1346,1
E06000054,Wiltshire,246339,215448,95377,55519,39858,120071,87767,22237,4916,5150,30891,5590,25301,0,100967,145372,5150
E06000055,Bedford,84651,75767,28427,15672,12755,47340,39239,4266,2305,1531,8884,2173,6711,0,30600,54051,1531
E06000056,Central Bedfordshire,119719,113959,51230,28571,22659,62729,46924,9856,3237,2713,5760,4927,833,0,56157,63562,2713
E06000048,Northumberland,164530,151121,57585,34999,22586,93536,73353,11882,3921,4380,13409,6954,6455,0,64538,99991,4380
E07000004,Aylesbury Vale District Council,62342,57273,29781,17161,12620,27491,24592,0,1789,1111,5069,639,4431,0,30420,31922,1111
E07000006,South Bucks District Council,23292,23100,11711,6658,5053,11389,9651,0,1412,326,192,61,131,0,11772,11520,326
E07000007,Wycombe District Council,98157,96949,50249,24705,25544,46700,40966,0,5386,347,1209,415,794,0,50664,47493,347
E07000008,Cambridge City Council,53955,46751,19953,10616,9337,26798,22425,0,3542,830,7204,2385,4818,0,22339,31616,830
E07000009,East Cambridgeshire District Council,32371,32205,18174,8142,10033,14031,12331,0,1347,353,166,4,162,0,18178,14192,353
E07000010,Fenland District Council,43427,41832,20680,8887,11793,21152,18804,0,1744,604,1595,105,1489,0,20785,22642,604
E07000011,Huntingdonshire District Council,68852,67365,38013,17685,20328,29352,27149,0,1822,380,1488,33,1455,0,38046,30806,380
E07000012,South Cambridgeshire District Council,63962,61224,35190,15628,19562,26033,21988,0,3234,812,2738,737,2001,0,35927,28035,812
E07000026,Allerdale Borough Council,46903,41909,15468,8043,7426,26440,22779,0,3691,-29,4995,704,4291,0,16172,30731,-29
E07000027,Barrow-in-Furness Borough Council,27405,27292,8395,4881,3514,18897,16369,0,2379,149,113,0,113,0,8395,19010,149
E07000028,Carlisle City Council,45098,45022,17853,8650,9203,27169,22285,0,4861,23,76,0,76,0,17853,27245,23
E07000029,Copeland Borough Council,28405,27043,8736,3853,4883,18306,16613,0,1581,112,1362,151,1211,0,8887,19518,112
E07000030,Eden District Council,23820,21984,9509,4858,4651,12475,10285,0,2102,89,1836,0,1836,0,9509,14311,89
E07000031,South Lakeland District Council,45694,45497,19079,8402,10676,26418,21719,0,4698,2,196,187,9,0,19266,26428,2
E07000032,Amber Valley Borough Council,47905,45869,15015,10827,4188,30854,26765,0,3758,332,2036,176,1859,0,15191,32713,332
E07000033,Bolsover District Council,33634,32060,13564,6989,6575,18496,16655,0,1336,505,1574,7,1568,0,13571,20063,505
E07000034,Chesterfield Borough Council,44311,40198,18307,8979,9328,21891,20244,0,1089,557,4114,126,3988,0,18433,25879,557
E07000035,Derbyshire Dales District Council,30873,28447,15951,7343,8608,12497,10379,0,2051,66,2426,1190,1236,0,17141,13732,66
E07000036,Erewash Borough Council,47411,45046,18342,8877,9465,26704,23280,0,2168,1256,2366,196,2170,0,18538,28873,1256
E07000037,High Peak Borough Council,39783,35736,17047,9391,7656,18689,15849,0,2428,411,4047,283,3764,0,17330,22453,411
E07000038,North East Derbyshire District Council,42840,40753,18816,9429,9387,21937,18880,0,2429,627,2087,4,2083,0,18820,24020,627
E07000039,South Derbyshire District Council,41351,39532,18656,7032,11624,20876,19290,0,1179,407,1819,135,1684,0,18791,22560,407
E07000040,East Devon District Council,38377,38325,17463,10431,7032,20862,20634,0,222,6,52,2,50,0,17465,20912,6
E07000041,Exeter City Council,38314,35543,11862,9181,2681,23681,21139,0,1571,970,2771,467,2304,0,12329,25984,970
E07000042,Mid Devon District Council,33591,30016,15236,5862,9374,14780,13896,0,866,18,3575,129,3446,0,15365,18226,18
E07000043,North Devon District Council,44281,40337,17963,7709,10255,22373,22118,0,110,145,3944,483,3460,0,18447,25834,145
E07000044,South Hams District Council,37653,34594,18317,7908,10410,16276,16169,0,63,44,3059,388,2671,0,18705,18947,44
E07000045,Teignbridge District Council,49186,48451,26313,10969,15344,22138,20051,0,1933,154,735,30,705,0,26343,22843,154
E07000046,Torridge District Council,27309,27291,11616,4889,6727,15675,15125,0,454,95,18,0,18,0,11616,15693,95
E07000047,West Devon Borough Council,19091,19087,10400,4616,5784,8687,8541,0,146,0,3,1,3,0,10401,8689,0
E07000061,Eastbourne Borough Council,37151,36955,13226,7553,5673,23729,21814,0,1638,277,196,0,196,0,13226,23925,277
E07000062,Hastings Borough Council,32050,31989,9468,7487,1981,22521,20038,0,2277,206,60,1,59,0,9469,22580,206
E07000063,Lewes District Council,31092,28800,6190,4981,1209,22610,18892,0,2905,812,2292,1469,823,0,7659,23433,812
E07000064,Rother District Council,36014,35864,16298,8912,7387,19566,17194,0,1978,394,150,0,150,0,16298,19716,394
E07000065,Wealden District Council,59828,59550,29251,15485,13767,30299,26853,0,2153,1293,278,31,248,0,29282,30547,1293
E07000066,Basildon District Council,80562,77049,37850,18783,19067,39199,33692,0,3327,2180,3513,1126,2387,0,38976,41586,2180
E07000067,Braintree District Council,61509,57244,29982,13968,16014,27262,25931,0,971,359,4265,730,3535,0,30713,30796,359
E07000068,Brentwood Borough Council,30727,28117,12909,8137,4772,15207,13727,0,1097,383,2611,428,2182,0,13338,17390,383
E07000069,Castle Point Borough Council,32710,32710,15548,7881,7611,17163,16389,0,273,501,0,0,0,0,15548,17163,501
E07000070,Chelmsford Borough Council,78796,73955,30750,11218,19531,43205,38892,0,2487,1826,4841,1942,2899,0,32691,46105,1826
E07000071,Colchester Borough Council,64780,62278,29661,17645,12017,32617,31521,0,1334,-239,2502,25,2478,0,29686,35094,-239
E07000072,Epping Forest Borough Council,52901,52339,30220,14538,15682,22119,19633,0,1808,679,562,1,560,0,30221,22680,679
E07000073,Harlow District Council,26773,26187,11753,8345,3408,14434,12726,0,1308,400,586,22,564,0,11775,14998,400
E07000074,Maldon District Council,23100,23020,10815,5048,5767,12205,12163,0,5,37,80,0,80,0,10815,12285,37
E07000075,Rochford District Council,32611,32611,21507,8822,12685,11104,9800,0,460,844,0,0,0,0,21507,11104,844
E07000076,Tendring District Council,46585,46585,12213,9046,3168,34372,33161,0,1210,0,0,0,0,0,12213,34372,0
E07000077,Uttlesford District Council,31626,29280,14702,9158,5544,14578,13105,0,626,846,2347,24,2323,0,14726,16901,846
E07000078,Cheltenham Borough Council,50631,46981,21329,11685,9644,25652,20508,2163,3005,-24,3650,166,3484,0,21495,29136,-24
E07000079,Cotswold District Council,38009,37945,22068,8954,13113,15877,13237,0,2308,333,64,1,63,0,22068,15941,333
E07000080,Forest of Dean District Council,31175,31129,15075,5579,9496,16055,14900,0,1153,2,46,0,46,0,15075,16100,2
E07000081,Gloucester City Council,47003,44458,16575,8329,8245,27883,25718,0,2289,-124,2545,104,2442,0,16679,30324,-124
E07000082,Stroud District Council,38054,37865,11913,11600,313,25952,23915,0,1859,179,189,0,189,0,11913,26141,179
E07000083,Tewkesbury Borough Council,34785,33305,16880,8540,8340,16424,13902,0,1679,844,1480,0,1480,0,16880,17904,844
E07000084,Basingstoke and Deane Borough Council,58770,58466,15373,13302,2071,43094,38512,0,3300,1282,304,37,267,0,15409,43360,1282
E07000085,East Hampshire District Council,36977,36817,12054,10220,1834,24763,21779,0,1826,1158,160,39,120,0,12093,24884,1158
E07000086,Eastleigh Borough Council,44526,40594,16334,9859,6475,24260,21046,0,1829,1385,3932,203,3729,0,16537,27989,1385
E07000087,Fareham Borough Council,39110,36155,11694,8118,3576,24461,21549,0,1737,1175,2955,434,2520,0,12129,26981,1175
E07000088,Gosport Borough Council,24122,24093,5247,4973,274,18846,16500,0,1381,965,29,1,28,0,5248,18874,965
E07000089,Hart District Council,31013,30991,11616,8667,2949,19374,16337,0,1961,1076,22,1,21,0,11617,19396,1076
E07000090,Havant Borough Council,38896,38532,11021,8691,2330,27511,24377,0,1609,1526,364,86,278,0,11107,27790,1526
E07000091,New Forest District Council,61467,59542,17885,14941,2944,41657,35538,0,4643,1476,1925,401,1524,0,18286,43181,1476
E07000092,Rushmoor Borough Council,31361,31331,8106,6073,2034,23225,20407,0,1941,877,29,3,26,0,8109,23251,877
E07000093,Test Valley Borough Council,41220,40908,13350,9740,3610,27558,23496,0,2800,1262,312,36,276,0,13386,27834,1262
E07000094,Winchester City Council,43477,37120,12834,8224,4610,24286,21084,0,2031,1172,6357,118,6238,0,12952,30525,1172
E07000095,Broxbourne Borough Council,39315,36165,14586,6478,8108,21579,17435,0,4087,57,3150,43,3107,0,14629,24686,57
E07000096,Dacorum Borough Council,59669,55639,27330,13381,13948,28310,23175,0,3181,1954,4030,767,3262,0,28097,31572,1954
E07000098,Hertsmere Borough Council,40875,38535,16223,7517,8706,22312,20156,0,1956,200,2340,85,2255,0,16308,24567,200
E07000099,North Hertfordshire District Council,52742,49283,28394,13256,15139,20888,18496,0,2290,102,3459,501,2958,0,28896,23846,102
E07000102,Three Rivers District Council,37087,34307,20373,9377,10995,13934,11749,0,1314,870,2781,1073,1708,0,21445,15642,870
E07000103,Watford Borough Council,33059,33001,13227,7342,5885,19774,17260,0,1946,568,58,71,-13,0,13298,19760,568
E07000105,Ashford Borough Council,40748,40746,21649,11741,9908,19098,16475,0,1700,923,2,0,2,0,21649,19100,923
E07000106,Canterbury City Council,57166,54094,23374,10966,12408,30720,25603,0,4408,708,3073,288,2785,0,23662,33505,708
E07000107,Dartford Borough Council,35566,35263,9028,7419,1609,26235,24611,0,978,646,303,17,287,0,9045,26522,646
E07000108,Dover District Council,34894,34479,14382,9266,5116,20097,17844,0,1549,703,415,0,415,0,14382,20511,703
E07000109,Gravesham Borough Council,35270,31547,11038,6355,4683,20509,18326,0,1608,575,3723,0,3723,0,11038,24232,575
E07000110,Maidstone Borough Council,57547,57024,27248,14792,12456,29776,25111,0,3142,1523,523,0,523,0,27248,30299,1523
E07000111,Sevenoaks District Council,46804,42994,13706,8962,4744,29288,25036,0,3849,403,3810,432,3378,0,14138,32666,403
E07000112,Shepway District Council,37117,36726,16168,8836,7332,20558,18735,0,837,986,391,6,385,0,16175,20943,986
E07000113,Swale Borough Council,52637,50410,18597,12013,6583,31814,28267,0,1842,1704,2227,20,2207,0,18617,34020,1704
E07000114,Thanet District Council,46959,46936,14851,9227,5625,32084,26213,0,5210,661,24,0,24,0,14851,32108,661
E07000115,Tonbridge and Malling Borough Council,50594,50163,20826,6311,14515,29337,24960,0,4377,0,431,0,431,0,20826,29768,0
E07000116,Tunbridge Wells Borough Council,46201,46123,21019,9282,11736,25104,20609,0,4433,63,77,5,72,0,21024,25177,63
E07000117,Burnley Borough Council,30798,29833,10526,6273,4253,19307,16584,0,2641,82,965,224,741,0,10750,20048,82
E07000118,Chorley Borough Council,45580,45333,21781,10377,11404,23552,19442,0,2944,1166,247,3,244,0,21784,23796,1166
E07000119,Fylde Borough Council,34801,32311,16940,8694,8246,15371,12236,0,2617,519,2490,634,1856,0,17574,17227,519
E07000120,Hyndburn Borough Council,28784,24145,7842,5635,2207,16304,14642,0,1658,4,4639,337,4302,0,8179,20605,4
E07000121,Lancaster City Council,55112,50015,22270,10853,11417,27745,24347,0,3007,391,5097,1156,3942,0,23426,31686,391
E07000122,Pendle Borough Council,37228,34158,12460,8418,4042,21698,16802,0,4377,518,3071,309,2761,0,12770,24459,518
E07000123,Preston City Council,60563,53281,20303,12285,8017,32978,27020,0,6396,-437,7282,578,6704,0,20880,39682,-437
E07000124,Ribble Valley Borough Council,24172,23220,9311,4990,4322,13909,13101,0,754,54,952,57,895,0,9368,14804,54
E07000125,Rossendale Borough Council,25915,24398,8217,5417,2799,16181,14918,0,1095,168,1518,409,1109,0,8626,17290,168
E07000126,South Ribble Borough Council,46038,43975,21705,10122,11583,22270,18738,0,2423,1109,2064,172,1891,0,21877,24161,1109
E07000127,West Lancashire Borough Council,49722,47154,22342,10591,11751,24812,22846,0,1093,873,2569,231,2337,0,22573,27149,873
E07000128,Wyre Borough Council,44432,44024,22635,11032,11603,21389,18938,0,1894,557,408,0,408,0,22635,21797,557
E07000129,Blaby District Council,37240,36189,17751,10443,7308,18438,16697,0,1097,644,1051,158,893,0,17910,19330,644
E07000130,Charnwood Borough Council,61755,61261,29647,17792,11856,31614,27656,0,2361,1597,494,276,218,0,29923,31832,1597
E07000131,Harborough District Council,40757,36857,21184,9667,11517,15673,14432,0,967,274,3900,602,3298,0,21786,18971,274
E07000132,Hinckley and Bosworth Borough Council,45335,43417,22403,10422,11982,21013,19740,0,1124,149,1919,267,1652,0,22670,22665,149
E07000133,Melton Borough Council,20478,20313,9670,5893,3776,10643,9619,0,646,378,166,97,69,0,9767,10711,378
E07000134,North West Leicestershire District Council,42656,40351,18755,7838,10917,21596,19686,0,1933,-23,2305,48,2258,0,18803,23853,-23
E07000135,Oadby and Wigston Borough Council,15838,15748,7649,3926,3723,8099,7468,0,637,-6,90,4,86,0,7653,8185,-6
E07000136,Boston Borough Council,28419,27579,11296,6277,5019,16283,14206,0,822,1255,839,16,824,0,11312,17107,1255
E07000137,East Lindsey District Council,55261,55197,25528,12456,13072,29669,24993,0,2948,1728,65,41,23,0,25569,29692,1728
E07000138,Lincoln City Council,36045,36031,12888,7184,5704,23144,20335,0,1238,1571,13,0,13,0,12888,23157,1571
E07000139,North Kesteven District Council,46057,45971,21125,10217,10908,24846,21265,0,1292,2289,86,2,85,0,21127,24931,2289
E07000140,South Holland District Council,30476,30426,8481,8171,310,21944,18989,0,1291,1664,51,1,49,0,8483,21994,1664
E07000141,South Kesteven District Council,52939,52873,22861,13906,8956,30011,24450,0,2071,3491,66,1,65,0,22863,30076,3491
E07000142,West Lindsey District Council,41076,40140,20076,9025,11051,20065,17074,0,1368,1623,936,173,763,0,20248,20828,1623
E07000143,Breckland Council,50292,50005,19974,12301,7673,30031,27008,0,1787,1237,287,10,277,0,19984,30308,1237
E07000144,Broadland District Council,48707,48335,24471,12420,12051,23864,20901,0,1711,1252,372,69,303,0,24540,24167,1252
E07000145,Great Yarmouth Borough Council,38308,36402,11350,8737,2614,25052,22791,0,1327,934,1905,424,1481,0,11775,26533,934
E07000146,Kings Lynn and West Norfolk Borough Council,61097,57246,25375,13872,11503,31870,28333,0,1666,1871,3852,1209,2643,0,26584,34514,1871
E07000147,North Norfolk District Council,45469,41308,17275,10118,7157,24033,21402,0,1089,1543,4161,1575,2586,0,18850,26619,1543
E07000148,Norwich City Council,46118,45290,17330,12054,5276,27960,24459,0,2305,1196,828,35,793,0,17365,28752,1196
E07000149,South Norfolk Council,50373,49096,21426,12998,8429,27670,24571,0,1686,1413,1276,661,615,0,22088,28285,1413
E07000150,Corby Borough Council,28251,25482,10882,6289,4593,14601,13347,0,798,456,2768,692,2076,0,11574,16677,456
E07000151,Daventry District Council,35215,33833,16933,6142,10791,16901,15621,0,1230,50,1382,74,1308,0,17006,18209,50
E07000152,East Northamptonshire Council,27696,27278,12038,8124,3914,15240,12778,0,1560,902,419,0,419,0,12038,15658,902
E07000153,Kettering Borough Council,41547,39903,19599,9615,9984,20304,19529,0,469,306,1644,0,1644,0,19599,21948,306
E07000154,Northampton Borough Council,82613,78728,31765,16051,15715,46962,41702,0,5200,60,3886,1277,2609,0,33042,49571,60
E07000155,South Northamptonshire District Council,40843,39003,22995,9965,13030,16009,14297,0,1021,690,1840,746,1093,0,23741,17102,690
E07000156,Wellingborough Borough Council,32550,31002,12655,7179,5477,18347,16615,0,1186,546,1547,399,1148,0,13054,19495,546
E07000163,Craven District Council,25661,21141,8749,6016,2733,12392,11008,0,1310,74,4520,315,4205,15,9064,16597,89
E07000164,Hambleton District Council,36328,36128,19548,8507,11041,16580,14648,0,1905,28,200,0,200,0,19548,16780,28
E07000165,Harrogate Borough Council,63556,57365,23123,12548,10576,34242,30660,0,3372,211,6191,0,6191,0,23123,40433,211
E07000166,Richmondshire District Council,18814,18285,9579,5941,3638,8705,7381,0,1322,2,529,126,403,0,9705,9109,2
E07000167,Ryedale District Council,25047,21543,9867,4682,5185,11676,11431,0,262,-17,3504,51,3453,0,9918,15129,-17
E07000168,Scarborough Borough Council,52081,46481,20475,12608,7867,26006,21285,0,4061,659,5600,229,5372,0,20704,31377,659
E07000169,Selby District Council,39398,37058,15543,6387,9156,21515,19672,0,1843,0,2340,482,1858,0,16025,23373,0
E07000170,Ashfield District Council,48852,47202,15019,10116,4903,32182,29767,0,1600,816,1650,168,1482,0,15188,33664,816
E07000171,Bassetlaw District Council,43299,41602,8365,7835,530,33237,30364,0,2314,560,1697,0,1697,0,8365,34934,560
E07000172,Broxtowe Borough Council,41777,39999,15398,9105,6293,24601,21949,0,2011,642,1777,591,1186,0,15989,25788,642
E07000173,Gedling Borough Council,47158,44304,15757,10839,4918,28547,26220,0,1610,717,2854,148,2706,0,15905,31253,717
E07000174,Mansfield District Council,44562,41827,14433,7794,6639,27394,23460,0,2946,988,2735,253,2482,0,14686,29876,988
E07000175,Newark and Sherwood District Council,47208,43903,13289,10231,3058,30613,27069,0,2955,590,3305,269,3036,0,13558,33650,590
E07000176,Rushcliffe Borough Council,45059,44922,22014,10180,11834,22908,20973,0,1562,373,138,53,85,0,22067,22993,373
E07000177,Cherwell District Council,59147,59050,32527,13629,18898,26522,23294,0,2277,951,98,2,96,0,32529,26618,951
E07000178,Oxford City Council,58871,46636,21034,13701,7333,25602,20049,0,4269,1285,12235,4906,7329,0,25940,32931,1285
E07000179,South Oxfordshire District Council,50237,50052,33317,17631,15686,16735,14271,0,1516,948,185,3,182,0,33320,16917,948
E07000180,Vale of White Horse District Council,42273,42240,27391,14742,12649,14850,12270,0,1724,856,33,0,33,0,27391,14883,856
E07000181,West Oxfordshire District Council,48262,44816,27230,12436,14794,17586,15539,0,1935,113,3446,802,2644,0,28032,20231,113
E07000187,Mendip District Council,40737,40470,17307,10699,6608,23163,19514,0,3650,0,267,95,172,0,17402,23335,0
E07000188,Sedgemoor District Council,41122,40625,19459,10908,8552,21166,17624,0,3542,0,497,200,297,0,19659,21462,0
E07000189,South Somerset District Council,56763,56195,25628,15834,9795,30566,26730,0,3836,0,568,224,344,0,25852,30910,0
E07000190,Taunton Deane Borough Council,38405,37969,19213,10450,8764,18755,16167,0,2588,0,436,93,343,0,19307,19098,0
E07000191,West Somerset District Council,13749,12600,6273,4340,1933,6326,4618,0,1709,0,1149,308,841,0,6581,7168,0
E07000192,Cannock Chase Council,39161,38740,18105,9299,8805,20635,17578,0,1161,1897,421,10,411,0,18115,21046,1897
E07000193,East Staffordshire Borough Council,47587,46986,22930,10060,12870,24055,21884,0,1087,1084,601,51,550,0,22982,24605,1084
E07000194,Lichfield District Council,44620,43269,21920,10768,11152,21348,18551,0,1372,1426,1352,409,942,0,22330,22291,1426
E07000195,Newcastle-under-Lyme Borough Council,51067,48742,24557,8607,15949,24186,20735,0,3450,0,2325,0,2325,0,24557,26511,0
E07000196,South Staffordshire Council,45810,45748,24011,10818,13193,21737,19741,0,988,1008,62,0,62,0,24011,21799,1008
E07000197,Stafford Borough Council,53890,53732,28135,13101,15034,25597,22896,0,1673,1028,158,5,152,0,28141,25749,1028
E07000198,Staffordshire Moorlands District Council,41109,39269,22164,9309,12856,17105,14106,0,2728,271,1840,187,1653,0,22351,18758,271
E07000199,Tamworth Borough Council,29725,29165,13333,7860,5473,15833,13985,0,840,1007,559,204,356,0,13536,16188,1007
E07000201,Forest Heath District Council,28693,26315,12240,6183,6057,14075,11981,0,1896,198,2378,247,2132,0,12486,16207,198
E07000202,Ipswich Borough Council,56894,52173,21292,11932,9360,30881,28576,0,1986,319,4721,929,3792,0,22221,34673,319
E07000203,Mid Suffolk District Council,70989,66603,28880,18676,10204,37724,34598,0,2112,1014,4385,462,3924,0,29342,41647,1014
E07000204,St Edmundsbury Borough Council,53313,46243,23663,11721,11942,22580,19531,0,2567,483,7070,1163,5907,0,24826,28487,483
E07000205,Suffolk Coastal District Council,57757,49832,28828,14387,14442,21003,18643,0,2300,60,7926,1774,6152,0,30602,27155,60
E07000206,Waveney District Council,54670,50673,25130,11804,13327,25543,23134,0,1671,738,3997,451,3545,0,25582,29088,738
